Psalm 47:3	He shall subdue the people under us, and the nations under our feet.
Psalm 50:18	When thou sawest a thief, then thou consentedst with him, and hast been partaker with adulterers.
Psalm 50:19	Thou givest thy mouth to evil, and thy tongue frameth deceit.
Psalm 50:20	Thou sittest [and] speakest against thy brother; thou slanderest thine own mother’s son.
Psalm 50:21	These [things] hast thou done, and I kept silence; thou thoughtest that I was altogether [such an one] as thyself: [but] I will reprove thee, and set [them] in order before thine eyes.
Psalm 50:22	Now consider this, ye that forget God, lest I tear [you] in pieces, and [there be] none to deliver.
Psalm 50:23	Whoso offereth praise glorifieth me: and to him that ordereth [his] conversation [aright] will I shew the salvation of God.
Psalm 51:1	To the chief Musician, A Psalm of David, when Nathan the prophet came unto him, after he had gone in to Bathsheba. Have mercy upon me, O God, according to thy lovingkindness: according unto the multitude of thy tender mercies blot out my transgressions.
Psalm 51:2	Wash me throughly from mine iniquity, and cleanse me from my sin.
Psalm 51:3	For I acknowledge my transgressions: and my sin [is] ever before me.
Psalm 51:4	Against thee, thee only, have I sinned, and done [this] evil in thy sight: that thou mightest be justified when thou speakest, [and] be clear when thou judgest.
Psalm 51:5	Behold, I was shapen in iniquity; and in sin did my mother conceive me.
Psalm 51:6	Behold, thou desirest truth in the inward parts: and in the hidden [part] thou shalt make me to know wisdom.
Psalm 51:7	Purge me with hyssop, and I shall be clean: wash me, and I shall be whiter than snow.
Psalm 51:8	Make me to hear joy and gladness; [that] the bones [which] thou hast broken may rejoice.
Psalm 51:9	Hide thy face from my sins, and blot out all mine iniquities.
Psalm 51:10	Create in me a clean heart, O God; and renew a right spirit within me.
Psalm 51:11	Cast me not away from thy presence; and take not thy holy spirit from me.
Psalm 51:12	Restore unto me the joy of thy salvation; and uphold me [with thy] free spirit.
Psalm 51:13	[Then] will I teach transgressors thy ways; and sinners shall be converted unto thee.
Psalm 51:14	Deliver me from bloodguiltiness, O God, thou God of my salvation: [and] my tongue shall sing aloud of thy righteousness.
Psalm 51:15	O Lord, open thou my lips; and my mouth shall shew forth thy praise.
Psalm 51:16	For thou desirest not sacrifice; else would I give [it]: thou delightest not in burnt offering.
Psalm 51:17	The sacrifices of God [are] a broken spirit: a broken and a contrite heart, O God, thou wilt not despise.
Psalm 51:18	Do good in thy good pleasure unto Zion: build thou the walls of Jerusalem.
Psalm 51:19	Then shalt thou be pleased with the sacrifices of righteousness, with burnt offering and whole burnt offering: then shall they offer bullocks upon thine altar.
Psalm 52:1	To the chief Musician, Maschil, [A Psalm] of David, when Doeg the Edomite came and told Saul, and said unto him, David is come to the house of Ahimelech. Why boastest thou thyself in mischief, O mighty man? the goodness of God [endureth] continually.
Psalm 52:2	Thy tongue deviseth mischiefs; like a sharp rasor, working deceitfully.
Psalm 52:3	Thou lovest evil more than good; [and] lying rather than to speak righteousness. Selah.
Psalm 52:4	Thou lovest all devouring words, O [thou] deceitful tongue.
Psalm 52:5	God shall likewise destroy thee for ever, he shall take thee away, and pluck thee out of [thy] dwelling place, and root thee out of the land of the living. Selah.
Psalm 52:6	The righteous also shall see, and fear, and shall laugh at him:
Psalm 52:7	Lo, [this is] the man [that] made not God his strength; but trusted in the abundance of his riches, [and] strengthened himself in his wickedness.
Psalm 52:8	But I [am] like a green olive tree in the house of God: I trust in the mercy of God for ever and ever.
Psalm 52:9	I will praise thee for ever, because thou hast done [it]: and I will wait on thy name; for [it is] good before thy saints.
Psalm 53:1	To the chief Musician upon Mahalath, Maschil, [A Psalm] of David. The fool hath said in his heart, [There is] no God. Corrupt are they, and have done abominable iniquity: [there is] none that doeth good.
Psalm 53:2	God looked down from heaven upon the children of men, to see if there were [any] that did understand, that did seek God.
Psalm 53:3	Every one of them is gone back: they are altogether become filthy; [there is] none that doeth good, no, not one.
Psalm 53:4	Have the workers of iniquity no knowledge? who eat up my people [as] they eat bread: they have not called upon God.
Psalm 53:5	There were they in great fear, [where] no fear was: for God hath scattered the bones of him that encampeth [against] thee: thou hast put [them] to shame, because God hath despised them.
Psalm 53:6	Oh that the salvation of Israel [were come] out of Zion! When God bringeth back the captivity of his people, Jacob shall rejoice, [and] Israel shall be glad.
Psalm 54:1	To the chief Musician on Neginoth, Maschil, [A Psalm] of David, when the Ziphims came and said to Saul, Doth not David hide himself with us? Save me, O God, by thy name, and judge me by thy strength.
Psalm 54:2	Hear my prayer, O God; give ear to the words of my mouth.
Psalm 54:3	For strangers are risen up against me, and oppressors seek after my soul: they have not set God before them. Selah.
Psalm 54:4	Behold, God [is] mine helper: the Lord [is] with them that uphold my soul.
Psalm 54:5	He shall reward evil unto mine enemies: cut them off in thy truth.
Psalm 54:6	I will freely sacrifice unto thee: I will praise thy name, O LORD; for [it is] good.
Psalm 54:7	For he hath delivered me out of all trouble: and mine eye hath seen [his desire] upon mine enemies.
Psalm 55:1	To the chief Musician on Neginoth, Maschil, [A Psalm] of David. Give ear to my prayer, O God; and hide not thyself from my supplication.
Psalm 55:2	Attend unto me, and hear me: I mourn in my complaint, and make a noise;
Psalm 55:3	Because of the voice of the enemy, because of the oppression of the wicked: for they cast iniquity upon me, and in wrath they hate me.
Psalm 55:4	My heart is sore pained within me: and the terrors of death are fallen upon me.
Psalm 55:5	Fearfulness and trembling are come upon me, and horror hath overwhelmed me.
Psalm 55:6	And I said, Oh that I had wings like a dove! [for then] would I fly away, and be at rest.
Psalm 55:7	Lo, [then] would I wander far off, [and] remain in the wilderness. Selah.
Psalm 55:8	I would hasten my escape from the windy storm [and] tempest.
Psalm 55:9	Destroy, O Lord, [and] divide their tongues: for I have seen violence and strife in the city.
Psalm 55:10	Day and night they go about it upon the walls thereof: mischief also and sorrow [are] in the midst of it.
Psalm 55:11	Wickedness [is] in the midst thereof: deceit and guile depart not from her streets.
Psalm 55:12	For [it was] not an enemy [that] reproached me; then I could have borne [it]: neither [was it] he that hated me [that] did magnify [himself] against me; then I would have hid myself from him:
Psalm 55:13	But [it was] thou, a man mine equal, my guide, and mine acquaintance.
Psalm 55:14	We took sweet counsel together, [and] walked unto the house of God in company.
Psalm 55:15	Let death seize upon them, [and] let them go down quick into hell: for wickedness [is] in their dwellings, [and] among them.
Psalm 55:16	As for me, I will call upon God; and the LORD shall save me.
Psalm 55:17	Evening, and morning, and at noon, will I pray, and cry aloud: and he shall hear my voice.
Psalm 55:18	He hath delivered my soul in peace from the battle [that was] against me: for there were many with me.
Psalm 55:19	God shall hear, and afflict them, even he that abideth of old. Selah. Because they have no changes, therefore they fear not God.
Psalm 55:20	He hath put forth his hands against such as be at peace with him: he hath broken his covenant.
Psalm 55:21	[The words] of his mouth were smoother than butter, but war [was] in his heart: his words were softer than oil, yet [were] they drawn swords.
Psalm 55:22	Cast thy burden upon the LORD, and he shall sustain thee: he shall never suffer the righteous to be moved.
Psalm 55:23	But thou, O God, shalt bring them down into the pit of destruction: bloody and deceitful men shall not live out half their days; but I will trust in thee.
Psalm 56:1	To the chief Musician upon Jonathelemrechokim, Michtam of David, when the Philistines took him in Gath. Be merciful unto me, O God: for man would swallow me up; he fighting daily oppresseth me.
Psalm 56:2	Mine enemies would daily swallow [me] up: for [they be] many that fight against me, O thou most High.
Psalm 56:3	What time I am afraid, I will trust in thee.
Psalm 56:4	In God I will praise his word, in God I have put my trust; I will not fear what flesh can do unto me.
Psalm 56:5	Every day they wrest my words: all their thoughts [are] against me for evil.
Psalm 56:6	They gather themselves together, they hide themselves, they mark my steps, when they wait for my soul.
Psalm 56:7	Shall they escape by iniquity? in [thine] anger cast down the people, O God.
Psalm 56:8	Thou tellest my wanderings: put thou my tears into thy bottle: [are they] not in thy book?
Psalm 56:9	When I cry [unto thee], then shall mine enemies turn back: this I know; for God [is] for me.
Psalm 56:10	In God will I praise [his] word: in the LORD will I praise [his] word.
Psalm 56:11	In God have I put my trust: I will not be afraid what man can do unto me.
Psalm 56:12	Thy vows [are] upon me, O God: I will render praises unto thee.
Psalm 56:13	For thou hast delivered my soul from death: [wilt] not [thou deliver] my feet from falling, that I may walk before God in the light of the living?
Psalm 57:1	To the chief Musician, Altaschith, Michtam of David, when he fled from Saul in the cave. Be merciful unto me, O God, be merciful unto me: for my soul trusteth in thee: yea, in the shadow of thy wings will I make my refuge, until [these] calamities be overpast.
Psalm 57:2	I will cry unto God most high; unto God that performeth [all things] for me.
Psalm 57:3	He shall send from heaven, and save me [from] the reproach of him that would swallow me up. Selah. God shall send forth his mercy and his truth.
Psalm 57:4	My soul [is] among lions: [and] I lie [even among] them that are set on fire, [even] the sons of men, whose teeth [are] spears and arrows, and their tongue a sharp sword.
Psalm 57:5	Be thou exalted, O God, above the heavens; [let] thy glory [be] above all the earth.
Psalm 57:6	They have prepared a net for my steps; my soul is bowed down: they have digged a pit before me, into the midst whereof they are fallen [themselves]. Selah.
Psalm 57:7	My heart is fixed, O God, my heart is fixed: I will sing and give praise.
Psalm 57:8	Awake up, my glory; awake, psaltery and harp: I [myself] will awake early.
Psalm 57:9	I will praise thee, O Lord, among the people: I will sing unto thee among the nations.
Psalm 57:10	For thy mercy [is] great unto the heavens, and thy truth unto the clouds.
Psalm 57:11	Be thou exalted, O God, above the heavens: [let] thy glory [be] above all the earth.
Psalm 58:1	To the chief Musician, Altaschith, Michtam of David. Do ye indeed speak righteousness, O congregation? do ye judge uprightly, O ye sons of men?
Psalm 58:2	Yea, in heart ye work wickedness; ye weigh the violence of your hands in the earth.
Psalm 58:3	The wicked are estranged from the womb: they go astray as soon as they be born, speaking lies.
Psalm 58:4	Their poison [is] like the poison of a serpent: [they are] like the deaf adder [that] stoppeth her ear;
Psalm 58:5	Which will not hearken to the voice of charmers, charming never so wisely.
Psalm 58:6	Break their teeth, O God, in their mouth: break out the great teeth of the young lions, O LORD.
Psalm 58:7	Let them melt away as waters [which] run continually: [when] he bendeth [his bow to shoot] his arrows, let them be as cut in pieces.
Psalm 58:8	As a snail [which] melteth, let [every one of them] pass away: [like] the untimely birth of a woman, [that] they may not see the sun.
Psalm 58:9	Before your pots can feel the thorns, he shall take them away as with a whirlwind, both living, and in [his] wrath.
Psalm 58:10	The righteous shall rejoice when he seeth the vengeance: he shall wash his feet in the blood of the wicked.
Psalm 58:11	So that a man shall say, Verily [there is] a reward for the righteous: verily he is a God that judgeth in the earth.
Psalm 59:1	To the chief Musician, Altaschith, Michtam of David; when Saul sent, and they watched the house to kill him. Deliver me from mine enemies, O my God: defend me from them that rise up against me.
Psalm 59:2	Deliver me from the workers of iniquity, and save me from bloody men.
Psalm 59:3	For, lo, they lie in wait for my soul: the mighty are gathered against me; not [for] my transgression, nor [for] my sin, O LORD.
Psalm 59:4	They run and prepare themselves without [my] fault: awake to help me, and behold.
Psalm 59:5	Thou therefore, O LORD God of hosts, the God of Israel, awake to visit all the heathen: be not merciful to any wicked transgressors. Selah.
Psalm 59:6	They return at evening: they make a noise like a dog, and go round about the city.
Psalm 59:7	Behold, they belch out with their mouth: swords [are] in their lips: for who, [say they], doth hear?
Psalm 59:8	But thou, O LORD, shalt laugh at them; thou shalt have all the heathen in derision.
Psalm 59:9	[Because of] his strength will I wait upon thee: for God [is] my defence.
Psalm 59:10	The God of my mercy shall prevent me: God shall let me see [my desire] upon mine enemies.
Psalm 59:11	Slay them not, lest my people forget: scatter them by thy power; and bring them down, O Lord our shield.
Psalm 59:12	[For] the sin of their mouth [and] the words of their lips let them even be taken in their pride: and for cursing and lying [which] they speak.
Psalm 59:13	Consume [them] in wrath, consume [them], that they [may] not [be]: and let them know that God ruleth in Jacob unto the ends of the earth. Selah.
Psalm 59:14	And at evening let them return; [and] let them make a noise like a dog, and go round about the city.
Psalm 59:15	Let them wander up and down for meat, and grudge if they be not satisfied.
Psalm 59:16	But I will sing of thy power; yea, I will sing aloud of thy mercy in the morning: for thou hast been my defence and refuge in the day of my trouble.
Psalm 59:17	Unto thee, O my strength, will I sing: for God [is] my defence, [and] the God of my mercy.
Psalm 60:1	To the chief Musician upon Shushaneduth, Michtam of David, to teach; when he strove with Aramnaharaim and with Aramzobah, when Joab returned, and smote of Edom in the valley of salt twelve thousand. O God, thou hast cast us off, thou hast scattered us, thou hast been displeased; O turn thyself to us again.
Psalm 60:2	Thou hast made the earth to tremble; thou hast broken it: heal the breaches thereof; for it shaketh.
Psalm 60:3	Thou hast shewed thy people hard things: thou hast made us to drink the wine of astonishment.
Psalm 60:4	Thou hast given a banner to them that fear thee, that it may be displayed because of the truth. Selah.
Psalm 60:5	That thy beloved may be delivered; save [with] thy right hand, and hear me.
Psalm 60:6	God hath spoken in his holiness; I will rejoice, I will divide Shechem, and mete out the valley of Succoth.
Psalm 60:7	Gilead [is] mine, and Manasseh [is] mine; Ephraim also [is] the strength of mine head; Judah [is] my lawgiver;
Psalm 60:8	Moab [is] my washpot; over Edom will I cast out my shoe: Philistia, triumph thou because of me.
Psalm 60:9	Who will bring me [into] the strong city? who will lead me into Edom?
Psalm 60:10	[Wilt] not thou, O God, [which] hadst cast us off? and [thou], O God, [which] didst not go out with our armies?
Psalm 60:11	Give us help from trouble: for vain [is] the help of man.
Psalm 60:12	Through God we shall do valiantly: for he [it is that] shall tread down our enemies.
Psalm 61:1	To the chief Musician upon Neginah, [A Psalm] of David. Hear my cry, O God; attend unto my prayer.
Psalm 61:2	From the end of the earth will I cry unto thee, when my heart is overwhelmed: lead me to the rock [that] is higher than I.
Psalm 61:3	For thou hast been a shelter for me, [and] a strong tower from the enemy.
Psalm 61:4	I will abide in thy tabernacle for ever: I will trust in the covert of thy wings. Selah.
Psalm 61:5	For thou, O God, hast heard my vows: thou hast given [me] the heritage of those that fear thy name.
Psalm 61:6	Thou wilt prolong the king’s life: [and] his years as many generations.
Psalm 61:7	He shall abide before God for ever: O prepare mercy and truth, [which] may preserve him.
Psalm 61:8	So will I sing praise unto thy name for ever, that I may daily perform my vows.
Psalm 62:1	To the chief Musician, to Jeduthun, A Psalm of David. Truly my soul waiteth upon God: from him [cometh] my salvation.
Psalm 62:2	He only [is] my rock and my salvation; [he is] my defence; I shall not be greatly moved.
Psalm 62:3	How long will ye imagine mischief against a man? ye shall be slain all of you: as a bowing wall [shall ye be, and as] a tottering fence.
Psalm 62:4	They only consult to cast [him] down from his excellency: they delight in lies: they bless with their mouth, but they curse inwardly. Selah.
Psalm 62:5	My soul, wait thou only upon God; for my expectation [is] from him.
Psalm 62:6	He only [is] my rock and my salvation: [he is] my defence; I shall not be moved.
Psalm 62:7	In God [is] my salvation and my glory: the rock of my strength, [and] my refuge, [is] in God.
Psalm 62:8	Trust in him at all times; ye people, pour out your heart before him: God [is] a refuge for us. Selah.
Psalm 62:9	Surely men of low degree [are] vanity, [and] men of high degree [are] a lie: to be laid in the balance, they [are] altogether [lighter] than vanity.
Psalm 62:10	Trust not in oppression, and become not vain in robbery: if riches increase, set not your heart [upon them].
Psalm 62:11	God hath spoken once; twice have I heard this; that power [belongeth] unto God.
Psalm 62:12	Also unto thee, O Lord, [belongeth] mercy: for thou renderest to every man according to his work.
Psalm 63:1	A Psalm of David, when he was in the wilderness of Judah. O God, thou [art] my God; early will I seek thee: my soul thirsteth for thee, my flesh longeth for thee in a dry and thirsty land, where no water is;
Psalm 63:2	To see thy power and thy glory, so [as] I have seen thee in the sanctuary.
Psalm 63:3	Because thy lovingkindness [is] better than life, my lips shall praise thee.
Psalm 63:4	Thus will I bless thee while I live: I will lift up my hands in thy name.
Psalm 63:5	My soul shall be satisfied as [with] marrow and fatness; and my mouth shall praise [thee] with joyful lips:
Psalm 63:6	When I remember thee upon my bed, [and] meditate on thee in the [night] watches.
Psalm 63:7	Because thou hast been my help, therefore in the shadow of thy wings will I rejoice.
Psalm 63:8	My soul followeth hard after thee: thy right hand upholdeth me.
Psalm 63:9	But those [that] seek my soul, to destroy [it], shall go into the lower parts of the earth.
Psalm 63:10	They shall fall by the sword: they shall be a portion for foxes.
Psalm 63:11	But the king shall rejoice in God; every one that sweareth by him shall glory: but the mouth of them that speak lies shall be stopped.
Psalm 64:1	To the chief Musician, A Psalm of David. Hear my voice, O God, in my prayer: preserve my life from fear of the enemy.
Psalm 64:2	Hide me from the secret counsel of the wicked; from the insurrection of the workers of iniquity:
Psalm 64:3	Who whet their tongue like a sword, [and] bend [their bows to shoot] their arrows, [even] bitter words:
Psalm 64:4	That they may shoot in secret at the perfect: suddenly do they shoot at him, and fear not.
Psalm 64:5	They encourage themselves [in] an evil matter: they commune of laying snares privily; they say, Who shall see them?
Psalm 64:6	They search out iniquities; they accomplish a diligent search: both the inward [thought] of every one [of them], and the heart, [is] deep.
Psalm 64:7	But God shall shoot at them [with] an arrow; suddenly shall they be wounded.
Psalm 64:8	So they shall make their own tongue to fall upon themselves: all that see them shall flee away.
Psalm 64:9	And all men shall fear, and shall declare the work of God; for they shall wisely consider of his doing.
Psalm 64:10	The righteous shall be glad in the LORD, and shall trust in him; and all the upright in heart shall glory.
Psalm 65:1	To the chief Musician, A Psalm [and] Song of David. Praise waiteth for thee, O God, in Sion: and unto thee shall the vow be performed.
Psalm 65:2	O thou that hearest prayer, unto thee shall all flesh come.
Psalm 65:3	Iniquities prevail against me: [as for] our transgressions, thou shalt purge them away.
Psalm 65:4	Blessed [is the man whom] thou choosest, and causest to approach [unto thee, that] he may dwell in thy courts: we shall be satisfied with the goodness of thy house, [even] of thy holy temple.
Psalm 65:5	[By] terrible things in righteousness wilt thou answer us, O God of our salvation; [who art] the confidence of all the ends of the earth, and of them that are afar off [upon] the sea:
Psalm 65:6	Which by his strength setteth fast the mountains; [being] girded with power:
Psalm 65:7	Which stilleth the noise of the seas, the noise of their waves, and the tumult of the people.
Psalm 65:8	They also that dwell in the uttermost parts are afraid at thy tokens: thou makest the outgoings of the morning and evening to rejoice.
Psalm 65:9	Thou visitest the earth, and waterest it: thou greatly enrichest it with the river of God, [which] is full of water: thou preparest them corn, when thou hast so provided for it.
Psalm 65:10	Thou waterest the ridges thereof abundantly: thou settlest the furrows thereof: thou makest it soft with showers: thou blessest the springing thereof.
Psalm 65:11	Thou crownest the year with thy goodness; and thy paths drop fatness.
Psalm 65:12	They drop [upon] the pastures of the wilderness: and the little hills rejoice on every side.
Psalm 65:13	The pastures are clothed with flocks; the valleys also are covered over with corn; they shout for joy, they also sing.
Psalm 66:1	To the chief Musician, A Song [or] Psalm. Make a joyful noise unto God, all ye lands:
Psalm 66:2	Sing forth the honour of his name: make his praise glorious.
Psalm 66:3	Say unto God, How terrible [art thou in] thy works! through the greatness of thy power shall thine enemies submit themselves unto thee.
Psalm 66:4	All the earth shall worship thee, and shall sing unto thee; they shall sing [to] thy name. Selah.
Psalm 66:5	Come and see the works of God: [he is] terrible [in his] doing toward the children of men.
Psalm 66:6	He turned the sea into dry [land]: they went through the flood on foot: there did we rejoice in him.
Psalm 66:7	He ruleth by his power for ever; his eyes behold the nations: let not the rebellious exalt themselves. Selah.
Psalm 66:8	O bless our God, ye people, and make the voice of his praise to be heard:
Psalm 66:9	Which holdeth our soul in life, and suffereth not our feet to be moved.
Psalm 66:10	For thou, O God, hast proved us: thou hast tried us, as silver is tried.
Psalm 66:11	Thou broughtest us into the net; thou laidst affliction upon our loins.
Psalm 66:12	Thou hast caused men to ride over our heads; we went through fire and through water: but thou broughtest us out into a wealthy [place].
Psalm 66:13	I will go into thy house with burnt offerings: I will pay thee my vows,
Psalm 66:14	Which my lips have uttered, and my mouth hath spoken, when I was in trouble.
Psalm 66:15	I will offer unto thee burnt sacrifices of fatlings, with the incense of rams; I will offer bullocks with goats. Selah.
Psalm 66:16	Come [and] hear, all ye that fear God, and I will declare what he hath done for my soul.
Psalm 66:17	I cried unto him with my mouth, and he was extolled with my tongue.
Psalm 66:18	If I regard iniquity in my heart, the Lord will not hear [me]:
Psalm 66:19	[But] verily God hath heard [me]; he hath attended to the voice of my prayer.
Psalm 66:20	Blessed [be] God, which hath not turned away my prayer, nor his mercy from me.
Psalm 67:1	To the chief Musician on Neginoth, A Psalm [or] Song. God be merciful unto us, and bless us; [and] cause his face to shine upon us; Selah.
Psalm 67:2	That thy way may be known upon earth, thy saving health among all nations.
Psalm 67:3	Let the people praise thee, O God; let all the people praise thee.
Psalm 67:4	O let the nations be glad and sing for joy: for thou shalt judge the people righteously, and govern the nations upon earth. Selah.
Psalm 67:5	Let the people praise thee, O God; let all the people praise thee.
Psalm 67:6	[Then] shall the earth yield her increase; [and] God, [even] our own God, shall bless us.
Psalm 67:7	God shall bless us; and all the ends of the earth shall fear him.
Psalm 68:1	To the chief Musician, A Psalm [or] Song of David. Let God arise, let his enemies be scattered: let them also that hate him flee before him.
Psalm 68:2	As smoke is driven away, [so] drive [them] away: as wax melteth before the fire, [so] let the wicked perish at the presence of God.
Psalm 68:3	But let the righteous be glad; let them rejoice before God: yea, let them exceedingly rejoice.
Psalm 68:4	Sing unto God, sing praises to his name: extol him that rideth upon the heavens by his name JAH, and rejoice before him.
Psalm 68:5	A father of the fatherless, and a judge of the widows, [is] God in his holy habitation.
Psalm 68:6	God setteth the solitary in families: he bringeth out those which are bound with chains: but the rebellious dwell in a dry [land].
Psalm 68:7	O God, when thou wentest forth before thy people, when thou didst march through the wilderness; Selah:
Psalm 68:8	The earth shook, the heavens also dropped at the presence of God: [even] Sinai itself [was moved] at the presence of God, the God of Israel.
Psalm 68:9	Thou, O God, didst send a plentiful rain, whereby thou didst confirm thine inheritance, when it was weary.
Psalm 68:10	Thy congregation hath dwelt therein: thou, O God, hast prepared of thy goodness for the poor.
Psalm 68:11	The Lord gave the word: great [was] the company of those that published [it].
Psalm 68:12	Kings of armies did flee apace: and she that tarried at home divided the spoil.
Psalm 68:13	Though ye have lien among the pots, [yet shall ye be as] the wings of a dove covered with silver, and her feathers with yellow gold.
Psalm 68:14	When the Almighty scattered kings in it, it was [white] as snow in Salmon.
Psalm 68:15	The hill of God [is as] the hill of Bashan; an high hill [as] the hill of Bashan.
Psalm 68:16	Why leap ye, ye high hills? [this is] the hill [which] God desireth to dwell in; yea, the LORD will dwell [in it] for ever.
Psalm 68:17	The chariots of God [are] twenty thousand, [even] thousands of angels: the Lord [is] among them, [as in] Sinai, in the holy [place].
Psalm 68:18	Thou hast ascended on high, thou hast led captivity captive: thou hast received gifts for men; yea, [for] the rebellious also, that the LORD God might dwell [among them].
Psalm 68:19	Blessed [be] the Lord, [who] daily loadeth us [with benefits, even] the God of our salvation. Selah.
Psalm 68:20	[He that is] our God [is] the God of salvation; and unto GOD the Lord [belong] the issues from death.
Psalm 68:21	But God shall wound the head of his enemies, [and] the hairy scalp of such an one as goeth on still in his trespasses.
Psalm 68:22	The Lord said, I will bring again from Bashan, I will bring [my people] again from the depths of the sea:
Psalm 68:23	That thy foot may be dipped in the blood of [thine] enemies, [and] the tongue of thy dogs in the same.
Psalm 68:24	They have seen thy goings, O God; [even] the goings of my God, my King, in the sanctuary.
Psalm 68:25	The singers went before, the players on instruments [followed] after; among [them were] the damsels playing with timbrels.
Psalm 68:26	Bless ye God in the congregations, [even] the Lord, from the fountain of Israel.
