2 Chronicles 29:33	And the consecrated things [were] six hundred oxen and three thousand sheep.
2 Chronicles 31:1	Now when all this was finished, all Israel that were present went out to the cities of Judah, and brake the images in pieces, and cut down the groves, and threw down the high places and the altars out of all Judah and Benjamin, in Ephraim also and Manasseh, until they had utterly destroyed them all. Then all the children of Israel returned, every man to his possession, into their own cities.
2 Chronicles 31:2	And Hezekiah appointed the courses of the priests and the Levites after their courses, every man according to his service, the priests and Levites for burnt offerings and for peace offerings, to minister, and to give thanks, and to praise in the gates of the tents of the LORD.
2 Chronicles 31:3	[He appointed] also the king’s portion of his substance for the burnt offerings, [to wit], for the morning and evening burnt offerings, and the burnt offerings for the sabbaths, and for the new moons, and for the set feasts, as [it is] written in the law of the LORD.
2 Chronicles 31:4	Moreover he commanded the people that dwelt in Jerusalem to give the portion of the priests and the Levites, that they might be encouraged in the law of the LORD.
2 Chronicles 31:5	And as soon as the commandment came abroad, the children of Israel brought in abundance the firstfruits of corn, wine, and oil, and honey, and of all the increase of the field; and the tithe of all [things] brought they in abundantly.
2 Chronicles 31:6	And [concerning] the children of Israel and Judah, that dwelt in the cities of Judah, they also brought in the tithe of oxen and sheep, and the tithe of holy things which were consecrated unto the LORD their God, and laid [them] by heaps.
2 Chronicles 31:7	In the third month they began to lay the foundation of the heaps, and finished [them] in the seventh month.
2 Chronicles 31:8	And when Hezekiah and the princes came and saw the heaps, they blessed the LORD, and his people Israel.
2 Chronicles 31:9	Then Hezekiah questioned with the priests and the Levites concerning the heaps.
2 Chronicles 31:10	And Azariah the chief priest of the house of Zadok answered him, and said, Since [the people] began to bring the offerings into the house of the LORD, we have had enough to eat, and have left plenty: for the LORD hath blessed his people; and that which is left [is] this great store.
2 Chronicles 31:11	Then Hezekiah commanded to prepare chambers in the house of the LORD; and they prepared [them],
2 Chronicles 31:12	And brought in the offerings and the tithes and the dedicated [things] faithfully: over which Cononiah the Levite [was] ruler, and Shimei his brother [was] the next.
2 Chronicles 31:13	And Jehiel, and Azaziah, and Nahath, and Asahel, and Jerimoth, and Jozabad, and Eliel, and Ismachiah, and Mahath, and Benaiah, [were] overseers under the hand of Cononiah and Shimei his brother, at the commandment of Hezekiah the king, and Azariah the ruler of the house of God.
2 Chronicles 31:14	And Kore the son of Imnah the Levite, the porter toward the east, [was] over the freewill offerings of God, to distribute the oblations of the LORD, and the most holy things.
2 Chronicles 31:15	And next him [were] Eden, and Miniamin, and Jeshua, and Shemaiah, Amariah, and Shecaniah, in the cities of the priests, in [their] set office, to give to their brethren by courses, as well to the great as to the small:
2 Chronicles 31:16	Beside their genealogy of males, from three years old and upward, [even] unto every one that entereth into the house of the LORD, his daily portion for their service in their charges according to their courses;
2 Chronicles 31:17	Both to the genealogy of the priests by the house of their fathers, and the Levites from twenty years old and upward, in their charges by their courses;
2 Chronicles 31:18	And to the genealogy of all their little ones, their wives, and their sons, and their daughters, through all the congregation: for in their set office they sanctified themselves in holiness:
2 Chronicles 31:19	Also of the sons of Aaron the priests, [which were] in the fields of the suburbs of their cities, in every several city, the men that were expressed by name, to give portions to all the males among the priests, and to all that were reckoned by genealogies among the Levites.
2 Chronicles 31:20	And thus did Hezekiah throughout all Judah, and wrought [that which was] good and right and truth before the LORD his God.
2 Chronicles 31:21	And in every work that he began in the service of the house of God, and in the law, and in the commandments, to seek his God, he did [it] with all his heart, and prospered.
2 Chronicles 32:1	After these things, and the establishment thereof, Sennacherib king of Assyria came, and entered into Judah, and encamped against the fenced cities, and thought to win them for himself.
2 Chronicles 32:2	And when Hezekiah saw that Sennacherib was come, and that he was purposed to fight against Jerusalem,
2 Chronicles 32:3	He took counsel with his princes and his mighty men to stop the waters of the fountains which [were] without the city: and they did help him.
2 Chronicles 32:4	So there was gathered much people together, who stopped all the fountains, and the brook that ran through the midst of the land, saying, Why should the kings of Assyria come, and find much water?
2 Chronicles 32:5	Also he strengthened himself, and built up all the wall that was broken, and raised [it] up to the towers, and another wall without, and repaired Millo [in] the city of David, and made darts and shields in abundance.
2 Chronicles 32:6	And he set captains of war over the people, and gathered them together to him in the street of the gate of the city, and spake comfortably to them, saying,
2 Chronicles 32:7	Be strong and courageous, be not afraid nor dismayed for the king of Assyria, nor for all the multitude that [is] with him: for [there be] more with us than with him:
2 Chronicles 32:8	With him [is] an arm of flesh; but with us [is] the LORD our God to help us, and to fight our battles. And the people rested themselves upon the words of Hezekiah king of Judah.
2 Chronicles 32:9	After this did Sennacherib king of Assyria send his servants to Jerusalem, (but he [himself laid siege] against Lachish, and all his power with him,) unto Hezekiah king of Judah, and unto all Judah that [were] at Jerusalem, saying,
2 Chronicles 32:10	Thus saith Sennacherib king of Assyria, Whereon do ye trust, that ye abide in the siege in Jerusalem?
2 Chronicles 32:11	Doth not Hezekiah persuade you to give over yourselves to die by famine and by thirst, saying, The LORD our God shall deliver us out of the hand of the king of Assyria?
2 Chronicles 32:12	Hath not the same Hezekiah taken away his high places and his altars, and commanded Judah and Jerusalem, saying, Ye shall worship before one altar, and burn incense upon it?
2 Chronicles 32:13	Know ye not what I and my fathers have done unto all the people of [other] lands? were the gods of the nations of those lands any ways able to deliver their lands out of mine hand?
2 Chronicles 32:14	Who [was there] among all the gods of those nations that my fathers utterly destroyed, that could deliver his people out of mine hand, that your God should be able to deliver you out of mine hand?
2 Chronicles 32:15	Now therefore let not Hezekiah deceive you, nor persuade you on this manner, neither yet believe him: for no god of any nation or kingdom was able to deliver his people out of mine hand, and out of the hand of my fathers: how much less shall your God deliver you out of mine hand?
2 Chronicles 32:16	And his servants spake yet [more] against the LORD God, and against his servant Hezekiah.
2 Chronicles 32:17	He wrote also letters to rail on the LORD God of Israel, and to speak against him, saying, As the gods of the nations of [other] lands have not delivered their people out of mine hand, so shall not the God of Hezekiah deliver his people out of mine hand.
2 Chronicles 32:18	Then they cried with a loud voice in the Jews’ speech unto the people of Jerusalem that [were] on the wall, to affright them, and to trouble them; that they might take the city.
