Joshua 19:35	And the fenced cities [are] Ziddim, Zer, and Hammath, Rakkath, and Chinnereth,
Joshua 22:31	And Phinehas the son of Eleazar the priest said unto the children of Reuben, and to the children of Gad, and to the children of Manasseh, This day we perceive that the LORD [is] among us, because ye have not committed this trespass against the LORD: now ye have delivered the children of Israel out of the hand of the LORD.
Joshua 22:32	And Phinehas the son of Eleazar the priest, and the princes, returned from the children of Reuben, and from the children of Gad, out of the land of Gilead, unto the land of Canaan, to the children of Israel, and brought them word again.
Joshua 22:33	And the thing pleased the children of Israel; and the children of Israel blessed God, and did not intend to go up against them in battle, to destroy the land wherein the children of Reuben and Gad dwelt.
Joshua 22:34	And the children of Reuben and the children of Gad called the altar [Ed]: for it [shall be] a witness between us that the LORD [is] God.
Joshua 23:1	And it came to pass a long time after that the LORD had given rest unto Israel from all their enemies round about, that Joshua waxed old [and] stricken in age.
Joshua 23:2	And Joshua called for all Israel, [and] for their elders, and for their heads, and for their judges, and for their officers, and said unto them, I am old [and] stricken in age:
Joshua 23:3	And ye have seen all that the LORD your God hath done unto all these nations because of you; for the LORD your God [is] he that hath fought for you.
Joshua 23:4	Behold, I have divided unto you by lot these nations that remain, to be an inheritance for your tribes, from Jordan, with all the nations that I have cut off, even unto the great sea westward.
Joshua 23:5	And the LORD your God, he shall expel them from before you, and drive them from out of your sight; and ye shall possess their land, as the LORD your God hath promised unto you.
Joshua 23:6	Be ye therefore very courageous to keep and to do all that is written in the book of the law of Moses, that ye turn not aside therefrom [to] the right hand or [to] the left;
Joshua 23:7	That ye come not among these nations, these that remain among you; neither make mention of the name of their gods, nor cause to swear [by them], neither serve them, nor bow yourselves unto them:
Joshua 23:8	But cleave unto the LORD your God, as ye have done unto this day.
Joshua 23:9	For the LORD hath driven out from before you great nations and strong: but [as for] you, no man hath been able to stand before you unto this day.
Joshua 23:10	One man of you shall chase a thousand: for the LORD your God, he [it is] that fighteth for you, as he hath promised you.
Joshua 23:11	Take good heed therefore unto yourselves, that ye love the LORD your God.
Joshua 23:12	Else if ye do in any wise go back, and cleave unto the remnant of these nations, [even] these that remain among you, and shall make marriages with them, and go in unto them, and they to you:
Joshua 23:13	Know for a certainty that the LORD your God will no more drive out [any of] these nations from before you; but they shall be snares and traps unto you, and scourges in your sides, and thorns in your eyes, until ye perish from off this good land which the LORD your God hath given you.
Joshua 23:14	And, behold, this day I [am] going the way of all the earth: and ye know in all your hearts and in all your souls, that not one thing hath failed of all the good things which the LORD your God spake concerning you; all are come to pass unto you, [and] not one thing hath failed thereof.
Joshua 23:15	Therefore it shall come to pass, [that] as all good things are come upon you, which the LORD your God promised you; so shall the LORD bring upon you all evil things, until he have destroyed you from off this good land which the LORD your God hath given you.
Joshua 23:16	When ye have transgressed the covenant of the LORD your God, which he commanded you, and have gone and served other gods, and bowed yourselves to them; then shall the anger of the LORD be kindled against you, and ye shall perish quickly from off the good land which he hath given unto you.
Joshua 24:1	And Joshua gathered all the tribes of Israel to Shechem, and called for the elders of Israel, and for their heads, and for their judges, and for their officers; and they presented themselves before God.
Joshua 24:2	And Joshua said unto all the people, Thus saith the LORD God of Israel, Your fathers dwelt on the other side of the flood in old time, [even] Terah, the father of Abraham, and the father of Nachor: and they served other gods.
Joshua 24:3	And I took your father Abraham from the other side of the flood, and led him throughout all the land of Canaan, and multiplied his seed, and gave him Isaac.
Joshua 24:4	And I gave unto Isaac Jacob and Esau: and I gave unto Esau mount Seir, to possess it; but Jacob and his children went down into Egypt.
Joshua 24:5	I sent Moses also and Aaron, and I plagued Egypt, according to that which I did among them: and afterward I brought you out.
Joshua 24:6	And I brought your fathers out of Egypt: and ye came unto the sea; and the Egyptians pursued after your fathers with chariots and horsemen unto the Red sea.
Joshua 24:7	And when they cried unto the LORD, he put darkness between you and the Egyptians, and brought the sea upon them, and covered them; and your eyes have seen what I have done in Egypt: and ye dwelt in the wilderness a long season.
Joshua 24:8	And I brought you into the land of the Amorites, which dwelt on the other side Jordan; and they fought with you: and I gave them into your hand, that ye might possess their land; and I destroyed them from before you.
Joshua 24:9	Then Balak the son of Zippor, king of Moab, arose and warred against Israel, and sent and called Balaam the son of Beor to curse you:
Joshua 24:10	But I would not hearken unto Balaam; therefore he blessed you still: so I delivered you out of his hand.
Joshua 24:11	And ye went over Jordan, and came unto Jericho: and the men of Jericho fought against you, the Amorites, and the Perizzites, and the Canaanites, and the Hittites, and the Girgashites, the Hivites, and the Jebusites; and I delivered them into your hand.
Joshua 24:12	And I sent the hornet before you, which drave them out from before you, [even] the two kings of the Amorites; [but] not with thy sword, nor with thy bow.
Joshua 24:13	And I have given you a land for which ye did not labour, and cities which ye built not, and ye dwell in them; of the vineyards and oliveyards which ye planted not do ye eat.
Joshua 24:14	Now therefore fear the LORD, and serve him in sincerity and in truth: and put away the gods which your fathers served on the other side of the flood, and in Egypt; and serve ye the LORD.
Joshua 24:15	And if it seem evil unto you to serve the LORD, choose you this day whom ye will serve; whether the gods which your fathers served that [were] on the other side of the flood, or the gods of the Amorites, in whose land ye dwell: but as for me and my house, we will serve the LORD.
Joshua 24:16	And the people answered and said, God forbid that we should forsake the LORD, to serve other gods;
Joshua 24:17	For the LORD our God, he [it is] that brought us up and our fathers out of the land of Egypt, from the house of bondage, and which did those great signs in our sight, and preserved us in all the way wherein we went, and among all the people through whom we passed:
Joshua 24:18	And the LORD drave out from before us all the people, even the Amorites which dwelt in the land: [therefore] will we also serve the LORD; for he [is] our God.
Joshua 24:19	And Joshua said unto the people, Ye cannot serve the LORD: for he [is] an holy God; he [is] a jealous God; he will not forgive your transgressions nor your sins.
Joshua 24:20	If ye forsake the LORD, and serve strange gods, then he will turn and do you hurt, and consume you, after that he hath done you good.
Joshua 24:21	And the people said unto Joshua, Nay; but we will serve the LORD.
Joshua 24:22	And Joshua said unto the people, Ye [are] witnesses against yourselves that ye have chosen you the LORD, to serve him. And they said, [We are] witnesses.
Joshua 24:23	Now therefore put away, [said he], the strange gods which [are] among you, and incline your heart unto the LORD God of Israel.
Joshua 24:24	And the people said unto Joshua, The LORD our God will we serve, and his voice will we obey.
Joshua 24:25	So Joshua made a covenant with the people that day, and set them a statute and an ordinance in Shechem.
Joshua 24:26	And Joshua wrote these words in the book of the law of God, and took a great stone, and set it up there under an oak, that [was] by the sanctuary of the LORD.
Joshua 24:27	And Joshua said unto all the people, Behold, this stone shall be a witness unto us; for it hath heard all the words of the LORD which he spake unto us: it shall be therefore a witness unto you, lest ye deny your God.
Joshua 24:28	So Joshua let the people depart, every man unto his inheritance.
Joshua 24:29	And it came to pass after these things, that Joshua the son of Nun, the servant of the LORD, died, [being] an hundred and ten years old.
Joshua 24:30	And they buried him in the border of his inheritance in Timnathserah, which [is] in mount Ephraim, on the north side of the hill of Gaash.
Joshua 24:31	And Israel served the LORD all the days of Joshua, and all the days of the elders that overlived Joshua, and which had known all the works of the LORD, that he had done for Israel.
Joshua 24:32	And the bones of Joseph, which the children of Israel brought up out of Egypt, buried they in Shechem, in a parcel of ground which Jacob bought of the sons of Hamor the father of Shechem for an hundred pieces of silver: and it became the inheritance of the children of Joseph.
Joshua 24:33	And Eleazar the son of Aaron died; and they buried him in a hill [that pertained to] Phinehas his son, which was given him in mount Ephraim.
Judges 1:1	Now after the death of Joshua it came to pass, that the children of Israel asked the LORD, saying, Who shall go up for us against the Canaanites first, to fight against them?
Judges 1:2	And the LORD said, Judah shall go up: behold, I have delivered the land into his hand.
Judges 1:3	And Judah said unto Simeon his brother, Come up with me into my lot, that we may fight against the Canaanites; and I likewise will go with thee into thy lot. So Simeon went with him.
Judges 1:4	And Judah went up; and the LORD delivered the Canaanites and the Perizzites into their hand: and they slew of them in Bezek ten thousand men.
Judges 1:5	And they found Adonibezek in Bezek: and they fought against him, and they slew the Canaanites and the Perizzites.
Judges 1:6	But Adonibezek fled; and they pursued after him, and caught him, and cut off his thumbs and his great toes.
Judges 1:7	And Adonibezek said, Threescore and ten kings, having their thumbs and their great toes cut off, gathered [their meat] under my table: as I have done, so God hath requited me. And they brought him to Jerusalem, and there he died.
Judges 1:8	Now the children of Judah had fought against Jerusalem, and had taken it, and smitten it with the edge of the sword, and set the city on fire.
Judges 1:9	And afterward the children of Judah went down to fight against the Canaanites, that dwelt in the mountain, and in the south, and in the valley.
Judges 1:10	And Judah went against the Canaanites that dwelt in Hebron: (now the name of Hebron before [was] Kirjatharba:) and they slew Sheshai, and Ahiman, and Talmai.
Judges 1:11	And from thence he went against the inhabitants of Debir: and the name of Debir before [was] Kirjathsepher:
Judges 1:12	And Caleb said, He that smiteth Kirjathsepher, and taketh it, to him will I give Achsah my daughter to wife.
Judges 1:13	And Othniel the son of Kenaz, Caleb’s younger brother, took it: and he gave him Achsah his daughter to wife.
Judges 1:14	And it came to pass, when she came [to him], that she moved him to ask of her father a field: and she lighted from off [her] ass; and Caleb said unto her, What wilt thou?
Judges 1:15	And she said unto him, Give me a blessing: for thou hast given me a south land; give me also springs of water. And Caleb gave her the upper springs and the nether springs.
Judges 1:16	And the children of the Kenite, Moses’ father in law, went up out of the city of palm trees with the children of Judah into the wilderness of Judah, which [lieth] in the south of Arad; and they went and dwelt among the people.
Judges 1:17	And Judah went with Simeon his brother, and they slew the Canaanites that inhabited Zephath, and utterly destroyed it. And the name of the city was called Hormah.
Judges 1:18	Also Judah took Gaza with the coast thereof, and Askelon with the coast thereof, and Ekron with the coast thereof.
Judges 1:19	And the LORD was with Judah; and he drave out [the inhabitants of] the mountain; but could not drive out the inhabitants of the valley, because they had chariots of iron.
Judges 1:20	And they gave Hebron unto Caleb, as Moses said: and he expelled thence the three sons of Anak.
Judges 1:21	And the children of Benjamin did not drive out the Jebusites that inhabited Jerusalem; but the Jebusites dwell with the children of Benjamin in Jerusalem unto this day.
Judges 1:22	And the house of Joseph, they also went up against Bethel: and the LORD [was] with them.
Judges 1:23	And the house of Joseph sent to descry Bethel. (Now the name of the city before [was] Luz.)
Judges 1:24	And the spies saw a man come forth out of the city, and they said unto him, Shew us, we pray thee, the entrance into the city, and we will shew thee mercy.
Judges 1:25	And when he shewed them the entrance into the city, they smote the city with the edge of the sword; but they let go the man and all his family.
Judges 1:26	And the man went into the land of the Hittites, and built a city, and called the name thereof Luz: which [is] the name thereof unto this day.
Judges 1:27	Neither did Manasseh drive out [the inhabitants of] Bethshean and her towns, nor Taanach and her towns, nor the inhabitants of Dor and her towns, nor the inhabitants of Ibleam and her towns, nor the inhabitants of Megiddo and her towns: but the Canaanites would dwell in that land.
Judges 1:28	And it came to pass, when Israel was strong, that they put the Canaanites to tribute, and did not utterly drive them out.
Judges 1:29	Neither did Ephraim drive out the Canaanites that dwelt in Gezer; but the Canaanites dwelt in Gezer among them.
Judges 1:30	Neither did Zebulun drive out the inhabitants of Kitron, nor the inhabitants of Nahalol; but the Canaanites dwelt among them, and became tributaries.
Judges 1:31	Neither did Asher drive out the inhabitants of Accho, nor the inhabitants of Zidon, nor of Ahlab, nor of Achzib, nor of Helbah, nor of Aphik, nor of Rehob:
Judges 1:32	But the Asherites dwelt among the Canaanites, the inhabitants of the land: for they did not drive them out.
Judges 1:33	Neither did Naphtali drive out the inhabitants of Bethshemesh, nor the inhabitants of Bethanath; but he dwelt among the Canaanites, the inhabitants of the land: nevertheless the inhabitants of Bethshemesh and of Bethanath became tributaries unto them.
Judges 1:34	And the Amorites forced the children of Dan into the mountain: for they would not suffer them to come down to the valley:
Judges 1:35	But the Amorites would dwell in mount Heres in Aijalon, and in Shaalbim: yet the hand of the house of Joseph prevailed, so that they became tributaries.
Judges 1:36	And the coast of the Amorites [was] from the going up to Akrabbim, from the rock, and upward.
Judges 2:1	And an angel of the LORD came up from Gilgal to Bochim, and said, I made you to go up out of Egypt, and have brought you unto the land which I sware unto your fathers; and I said, I will never break my covenant with you.
Judges 2:2	And ye shall make no league with the inhabitants of this land; ye shall throw down their altars: but ye have not obeyed my voice: why have ye done this?
Judges 2:3	Wherefore I also said, I will not drive them out from before you; but they shall be [as thorns] in your sides, and their gods shall be a snare unto you.
Judges 2:4	And it came to pass, when the angel of the LORD spake these words unto all the children of Israel, that the people lifted up their voice, and wept.
Judges 2:5	And they called the name of that place Bochim: and they sacrificed there unto the LORD.
Judges 2:6	And when Joshua had let the people go, the children of Israel went every man unto his inheritance to possess the land.
Judges 2:7	And the people served the LORD all the days of Joshua, and all the days of the elders that outlived Joshua, who had seen all the great works of the LORD, that he did for Israel.
Judges 2:8	And Joshua the son of Nun, the servant of the LORD, died, [being] an hundred and ten years old.
Judges 2:9	And they buried him in the border of his inheritance in Timnathheres, in the mount of Ephraim, on the north side of the hill Gaash.
Judges 2:10	And also all that generation were gathered unto their fathers: and there arose another generation after them, which knew not the LORD, nor yet the works which he had done for Israel.
Judges 2:11	And the children of Israel did evil in the sight of the LORD, and served Baalim:
Judges 2:12	And they forsook the LORD God of their fathers, which brought them out of the land of Egypt, and followed other gods, of the gods of the people that [were] round about them, and bowed themselves unto them, and provoked the LORD to anger.
Judges 2:13	And they forsook the LORD, and served Baal and Ashtaroth.
Judges 2:14	And the anger of the LORD was hot against Israel, and he delivered them into the hands of spoilers that spoiled them, and he sold them into the hands of their enemies round about, so that they could not any longer stand before their enemies.
Judges 2:15	Whithersoever they went out, the hand of the LORD was against them for evil, as the LORD had said, and as the LORD had sworn unto them: and they were greatly distressed.
Judges 2:16	Nevertheless the LORD raised up judges, which delivered them out of the hand of those that spoiled them.
Judges 2:17	And yet they would not hearken unto their judges, but they went a whoring after other gods, and bowed themselves unto them: they turned quickly out of the way which their fathers walked in, obeying the commandments of the LORD; [but] they did not so.
Judges 2:18	And when the LORD raised them up judges, then the LORD was with the judge, and delivered them out of the hand of their enemies all the days of the judge: for it repented the LORD because of their groanings by reason of them that oppressed them and vexed them.
Judges 2:19	And it came to pass, when the judge was dead, [that] they returned, and corrupted [themselves] more than their fathers, in following other gods to serve them, and to bow down unto them; they ceased not from their own doings, nor from their stubborn way.
Judges 2:20	And the anger of the LORD was hot against Israel; and he said, Because that this people hath transgressed my covenant which I commanded their fathers, and have not hearkened unto my voice;
Judges 2:21	I also will not henceforth drive out any from before them of the nations which Joshua left when he died:
Judges 2:22	That through them I may prove Israel, whether they will keep the way of the LORD to walk therein, as their fathers did keep [it], or not.
Judges 2:23	Therefore the LORD left those nations, without driving them out hastily; neither delivered he them into the hand of Joshua.
Judges 3:1	Now these [are] the nations which the LORD left, to prove Israel by them, [even] as many [of Israel] as had not known all the wars of Canaan;
Judges 3:2	Only that the generations of the children of Israel might know, to teach them war, at the least such as before knew nothing thereof;
Judges 3:3	[Namely], five lords of the Philistines, and all the Canaanites, and the Sidonians, and the Hivites that dwelt in mount Lebanon, from mount Baalhermon unto the entering in of Hamath.
Judges 3:4	And they were to prove Israel by them, to know whether they would hearken unto the commandments of the LORD, which he commanded their fathers by the hand of Moses.
Judges 3:5	And the children of Israel dwelt among the Canaanites, Hittites, and Amorites, and Perizzites, and Hivites, and Jebusites:
Judges 3:6	And they took their daughters to be their wives, and gave their daughters to their sons, and served their gods.
Judges 3:7	And the children of Israel did evil in the sight of the LORD, and forgat the LORD their God, and served Baalim and the groves.
Judges 3:8	Therefore the anger of the LORD was hot against Israel, and he sold them into the hand of Chushanrishathaim king of Mesopotamia: and the children of Israel served Chushanrishathaim eight years.
