Ephesians 5:22	Wives, submit yourselves unto your own husbands, as unto the Lord.
Philippians 1:7	Even as it is meet for me to think this of you all, because I have you in my heart; inasmuch as both in my bonds, and in the defence and confirmation of the gospel, ye all are partakers of my grace.
Philippians 1:8	For God is my record, how greatly I long after you all in the bowels of Jesus Christ.
Philippians 1:9	And this I pray, that your love may abound yet more and more in knowledge and [in] all judgment;
Philippians 1:10	That ye may approve things that are excellent; that ye may be sincere and without offence till the day of Christ;
Philippians 1:11	Being filled with the fruits of righteousness, which are by Jesus Christ, unto the glory and praise of God.
Philippians 1:12	But I would ye should understand, brethren, that the things [which happened] unto me have fallen out rather unto the furtherance of the gospel;
Philippians 1:13	So that my bonds in Christ are manifest in all the palace, and in all other [places];
Philippians 1:14	And many of the brethren in the Lord, waxing confident by my bonds, are much more bold to speak the word without fear.
Philippians 1:15	Some indeed preach Christ even of envy and strife; and some also of good will:
Philippians 1:16	The one preach Christ of contention, not sincerely, supposing to add affliction to my bonds:
Philippians 1:17	But the other of love, knowing that I am set for the defence of the gospel.
Philippians 1:18	What then? notwithstanding, every way, whether in pretence, or in truth, Christ is preached; and I therein do rejoice, yea, and will rejoice.
Philippians 1:19	For I know that this shall turn to my salvation through your prayer, and the supply of the Spirit of Jesus Christ,
Philippians 1:20	According to my earnest expectation and [my] hope, that in nothing I shall be ashamed, but [that] with all boldness, as always, [so] now also Christ shall be magnified in my body, whether [it be] by life, or by death.
Philippians 1:21	For to me to live [is] Christ, and to die [is] gain.
Philippians 1:22	But if I live in the flesh, this [is] the fruit of my labour: yet what I shall choose I wot not.
Philippians 1:23	For I am in a strait betwixt two, having a desire to depart, and to be with Christ; which is far better:
Philippians 1:24	Nevertheless to abide in the flesh [is] more needful for you.
Philippians 1:25	And having this confidence, I know that I shall abide and continue with you all for your furtherance and joy of faith;
Philippians 1:26	That your rejoicing may be more abundant in Jesus Christ for me by my coming to you again.
Philippians 1:27	Only let your conversation be as it becometh the gospel of Christ: that whether I come and see you, or else be absent, I may hear of your affairs, that ye stand fast in one spirit, with one mind striving together for the faith of the gospel;
Philippians 1:28	And in nothing terrified by your adversaries: which is to them an evident token of perdition, but to you of salvation, and that of God.
Philippians 1:29	For unto you it is given in the behalf of Christ, not only to believe on him, but also to suffer for his sake;
Philippians 1:30	Having the same conflict which ye saw in me, and now hear [to be] in me.
Philippians 2:1	If [there be] therefore any consolation in Christ, if any comfort of love, if any fellowship of the Spirit, if any bowels and mercies,
Philippians 2:2	Fulfil ye my joy, that ye be likeminded, having the same love, [being] of one accord, of one mind.
Philippians 2:3	[Let] nothing [be done] through strife or vainglory; but in lowliness of mind let each esteem other better than themselves.
Philippians 2:4	Look not every man on his own things, but every man also on the things of others.
Philippians 2:5	Let this mind be in you, which was also in Christ Jesus:
Philippians 2:6	Who, being in the form of God, thought it not robbery to be equal with God:
Philippians 2:7	But made himself of no reputation, and took upon him the form of a servant, and was made in the likeness of men:
Philippians 2:8	And being found in fashion as a man, he humbled himself, and became obedient unto death, even the death of the cross.
Philippians 2:9	Wherefore God also hath highly exalted him, and given him a name which is above every name:
Philippians 2:10	That at the name of Jesus every knee should bow, of [things] in heaven, and [things] in earth, and [things] under the earth;
Philippians 2:11	And [that] every tongue should confess that Jesus Christ [is] Lord, to the glory of God the Father.
Philippians 2:12	Wherefore, my beloved, as ye have always obeyed, not as in my presence only, but now much more in my absence, work out your own salvation with fear and trembling.
Philippians 2:13	For it is God which worketh in you both to will and to do of [his] good pleasure.
Philippians 2:14	Do all things without murmurings and disputings:
Philippians 2:15	That ye may be blameless and harmless, the sons of God, without rebuke, in the midst of a crooked and perverse nation, among whom ye shine as lights in the world;
Philippians 2:16	Holding forth the word of life; that I may rejoice in the day of Christ, that I have not run in vain, neither laboured in vain.
Philippians 2:17	Yea, and if I be offered upon the sacrifice and service of your faith, I joy, and rejoice with you all.
Philippians 2:18	For the same cause also do ye joy, and rejoice with me.
Philippians 2:19	But I trust in the Lord Jesus to send Timotheus shortly unto you, that I also may be of good comfort, when I know your state.
Philippians 2:20	For I have no man likeminded, who will naturally care for your state.
Philippians 2:21	For all seek their own, not the things which are Jesus Christ’s.
Philippians 2:22	But ye know the proof of him, that, as a son with the father, he hath served with me in the gospel.
Philippians 2:23	Him therefore I hope to send presently, so soon as I shall see how it will go with me.
Philippians 2:24	But I trust in the Lord that I also myself shall come shortly.
Philippians 2:25	Yet I supposed it necessary to send to you Epaphroditus, my brother, and companion in labour, and fellowsoldier, but your messenger, and he that ministered to my wants.
Philippians 2:26	For he longed after you all, and was full of heaviness, because that ye had heard that he had been sick.
Philippians 2:27	For indeed he was sick nigh unto death: but God had mercy on him; and not on him only, but on me also, lest I should have sorrow upon sorrow.
Philippians 2:28	I sent him therefore the more carefully, that, when ye see him again, ye may rejoice, and that I may be the less sorrowful.
Philippians 2:29	Receive him therefore in the Lord with all gladness; and hold such in reputation:
Philippians 2:30	Because for the work of Christ he was nigh unto death, not regarding his life, to supply your lack of service toward me.
Philippians 3:1	Finally, my brethren, rejoice in the Lord. To write the same things to you, to me indeed [is] not grievous, but for you [it is] safe.
Philippians 3:2	Beware of dogs, beware of evil workers, beware of the concision.
Philippians 3:3	For we are the circumcision, which worship God in the spirit, and rejoice in Christ Jesus, and have no confidence in the flesh.
Philippians 3:4	Though I might also have confidence in the flesh. If any other man thinketh that he hath whereof he might trust in the flesh, I more:
Philippians 3:5	Circumcised the eighth day, of the stock of Israel, [of] the tribe of Benjamin, an Hebrew of the Hebrews; as touching the law, a Pharisee;
Philippians 3:6	Concerning zeal, persecuting the church; touching the righteousness which is in the law, blameless.
Philippians 3:7	But what things were gain to me, those I counted loss for Christ.
Philippians 3:8	Yea doubtless, and I count all things [but] loss for the excellency of the knowledge of Christ Jesus my Lord: for whom I have suffered the loss of all things, and do count them [but] dung, that I may win Christ,
Philippians 3:9	And be found in him, not having mine own righteousness, which is of the law, but that which is through the faith of Christ, the righteousness which is of God by faith:
Philippians 3:10	That I may know him, and the power of his resurrection, and the fellowship of his sufferings, being made conformable unto his death;
Philippians 3:11	If by any means I might attain unto the resurrection of the dead.
Philippians 3:12	Not as though I had already attained, either were already perfect: but I follow after, if that I may apprehend that for which also I am apprehended of Christ Jesus.
Philippians 3:13	Brethren, I count not myself to have apprehended: but [this] one thing [I do], forgetting those things which are behind, and reaching forth unto those things which are before,
Philippians 3:14	I press toward the mark for the prize of the high calling of God in Christ Jesus.
Philippians 3:15	Let us therefore, as many as be perfect, be thus minded: and if in any thing ye be otherwise minded, God shall reveal even this unto you.
Philippians 3:16	Nevertheless, whereto we have already attained, let us walk by the same rule, let us mind the same thing.
Philippians 3:17	Brethren, be followers together of me, and mark them which walk so as ye have us for an ensample.
Philippians 3:18	(For many walk, of whom I have told you often, and now tell you even weeping, [that they are] the enemies of the cross of Christ:
Philippians 3:19	Whose end [is] destruction, whose God [is their] belly, and [whose] glory [is] in their shame, who mind earthly things.)
Philippians 3:20	For our conversation is in heaven; from whence also we look for the Saviour, the Lord Jesus Christ:
Philippians 3:21	Who shall change our vile body, that it may be fashioned like unto his glorious body, according to the working whereby he is able even to subdue all things unto himself.
Philippians 4:1	Therefore, my brethren dearly beloved and longed for, my joy and crown, so stand fast in the Lord, [my] dearly beloved.
Philippians 4:2	I beseech Euodias, and beseech Syntyche, that they be of the same mind in the Lord.
Philippians 4:3	And I intreat thee also, true yokefellow, help those women which laboured with me in the gospel, with Clement also, and [with] other my fellowlabourers, whose names [are] in the book of life.
Philippians 4:4	Rejoice in the Lord alway: [and] again I say, Rejoice.
Philippians 4:5	Let your moderation be known unto all men. The Lord [is] at hand.
Philippians 4:6	Be careful for nothing; but in every thing by prayer and supplication with thanksgiving let your requests be made known unto God.
Philippians 4:7	And the peace of God, which passeth all understanding, shall keep your hearts and minds through Christ Jesus.
Philippians 4:8	Finally, brethren, whatsoever things are true, whatsoever things [are] honest, whatsoever things [are] just, whatsoever things [are] pure, whatsoever things [are] lovely, whatsoever things [are] of good report; if [there be] any virtue, and if [there be] any praise, think on these things.
Philippians 4:9	Those things, which ye have both learned, and received, and heard, and seen in me, do: and the God of peace shall be with you.
Philippians 4:10	But I rejoiced in the Lord greatly, that now at the last your care of me hath flourished again; wherein ye were also careful, but ye lacked opportunity.
Philippians 4:11	Not that I speak in respect of want: for I have learned, in whatsoever state I am, [therewith] to be content.
Philippians 4:12	I know both how to be abased, and I know how to abound: every where and in all things I am instructed both to be full and to be hungry, both to abound and to suffer need.
Philippians 4:13	I can do all things through Christ which strengtheneth me.
Philippians 4:14	Notwithstanding ye have well done, that ye did communicate with my affliction.
Philippians 4:15	Now ye Philippians know also, that in the beginning of the gospel, when I departed from Macedonia, no church communicated with me as concerning giving and receiving, but ye only.
Philippians 4:16	For even in Thessalonica ye sent once and again unto my necessity.
Philippians 4:17	Not because I desire a gift: but I desire fruit that may abound to your account.
Philippians 4:18	But I have all, and abound: I am full, having received of Epaphroditus the things [which were sent] from you, an odour of a sweet smell, a sacrifice acceptable, wellpleasing to God.
Philippians 4:19	But my God shall supply all your need according to his riches in glory by Christ Jesus.
Philippians 4:20	Now unto God and our Father [be] glory for ever and ever. Amen.
Philippians 4:21	Salute every saint in Christ Jesus. The brethren which are with me greet you.
Philippians 4:22	All the saints salute you, chiefly they that are of Caesar’s household.
Philippians 4:23	The grace of our Lord Jesus Christ [be] with you all. Amen.
Colossians 1:1	Paul, an apostle of Jesus Christ by the will of God, and Timotheus [our] brother,
Colossians 1:2	To the saints and faithful brethren in Christ which are at Colosse: Grace [be] unto you, and peace, from God our Father and the Lord Jesus Christ.
Colossians 1:3	We give thanks to God and the Father of our Lord Jesus Christ, praying always for you,
Colossians 1:4	Since we heard of your faith in Christ Jesus, and of the love [which ye have] to all the saints,
Colossians 1:5	For the hope which is laid up for you in heaven, whereof ye heard before in the word of the truth of the gospel;
Colossians 1:6	Which is come unto you, as [it is] in all the world; and bringeth forth fruit, as [it doth] also in you, since the day ye heard [of it], and knew the grace of God in truth:
Colossians 1:7	As ye also learned of Epaphras our dear fellowservant, who is for you a faithful minister of Christ;
Colossians 1:8	Who also declared unto us your love in the Spirit.
Colossians 1:9	For this cause we also, since the day we heard [it], do not cease to pray for you, and to desire that ye might be filled with the knowledge of his will in all wisdom and spiritual understanding;
Colossians 1:10	That ye might walk worthy of the Lord unto all pleasing, being fruitful in every good work, and increasing in the knowledge of God;
Colossians 1:11	Strengthened with all might, according to his glorious power, unto all patience and longsuffering with joyfulness;
Colossians 1:12	Giving thanks unto the Father, which hath made us meet to be partakers of the inheritance of the saints in light:
Colossians 1:13	Who hath delivered us from the power of darkness, and hath translated [us] into the kingdom of his dear Son:
Colossians 1:14	In whom we have redemption through his blood, [even] the forgiveness of sins:
Colossians 1:15	Who is the image of the invisible God, the firstborn of every creature:
Colossians 1:16	For by him were all things created, that are in heaven, and that are in earth, visible and invisible, whether [they be] thrones, or dominions, or principalities, or powers: all things were created by him, and for him:
Colossians 1:17	And he is before all things, and by him all things consist.
Colossians 1:18	And he is the head of the body, the church: who is the beginning, the firstborn from the dead; that in all [things] he might have the preeminence.
Colossians 1:19	For it pleased [the Father] that in him should all fulness dwell;
Colossians 1:20	And, having made peace through the blood of his cross, by him to reconcile all things unto himself; by him, [I say], whether [they be] things in earth, or things in heaven.
Colossians 1:21	And you, that were sometime alienated and enemies in [your] mind by wicked works, yet now hath he reconciled
Colossians 1:22	In the body of his flesh through death, to present you holy and unblameable and unreproveable in his sight:
Colossians 1:23	If ye continue in the faith grounded and settled, and [be] not moved away from the hope of the gospel, which ye have heard, [and] which was preached to every creature which is under heaven; whereof I Paul am made a minister;
Colossians 1:24	Who now rejoice in my sufferings for you, and fill up that which is behind of the afflictions of Christ in my flesh for his body’s sake, which is the church:
Colossians 1:25	Whereof I am made a minister, according to the dispensation of God which is given to me for you, to fulfil the word of God;
Colossians 1:26	[Even] the mystery which hath been hid from ages and from generations, but now is made manifest to his saints:
Colossians 1:27	To whom God would make known what [is] the riches of the glory of this mystery among the Gentiles; which is Christ in you, the hope of glory:
Colossians 1:28	Whom we preach, warning every man, and teaching every man in all wisdom; that we may present every man perfect in Christ Jesus:
Colossians 1:29	Whereunto I also labour, striving according to his working, which worketh in me mightily.
Colossians 2:1	For I would that ye knew what great conflict I have for you, and [for] them at Laodicea, and [for] as many as have not seen my face in the flesh;
Colossians 2:2	That their hearts might be comforted, being knit together in love, and unto all riches of the full assurance of understanding, to the acknowledgement of the mystery of God, and of the Father, and of Christ;
Colossians 2:3	In whom are hid all the treasures of wisdom and knowledge.
Colossians 2:4	And this I say, lest any man should beguile you with enticing words.
Colossians 2:5	For though I be absent in the flesh, yet am I with you in the spirit, joying and beholding your order, and the stedfastness of your faith in Christ.
Colossians 2:6	As ye have therefore received Christ Jesus the Lord, [so] walk ye in him:
Colossians 2:7	Rooted and built up in him, and stablished in the faith, as ye have been taught, abounding therein with thanksgiving.
Colossians 2:8	Beware lest any man spoil you through philosophy and vain deceit, after the tradition of men, after the rudiments of the world, and not after Christ.
Colossians 2:9	For in him dwelleth all the fulness of the Godhead bodily.
Colossians 2:10	And ye are complete in him, which is the head of all principality and power:
Colossians 2:11	In whom also ye are circumcised with the circumcision made without hands, in putting off the body of the sins of the flesh by the circumcision of Christ:
Colossians 2:12	Buried with him in baptism, wherein also ye are risen with [him] through the faith of the operation of God, who hath raised him from the dead.
Colossians 2:13	And you, being dead in your sins and the uncircumcision of your flesh, hath he quickened together with him, having forgiven you all trespasses;
Colossians 2:14	Blotting out the handwriting of ordinances that was against us, which was contrary to us, and took it out of the way, nailing it to his cross;
Colossians 2:15	[And] having spoiled principalities and powers, he made a shew of them openly, triumphing over them in it.
Colossians 2:16	Let no man therefore judge you in meat, or in drink, or in respect of an holyday, or of the new moon, or of the sabbath [days]:
Colossians 2:17	Which are a shadow of things to come; but the body [is] of Christ.
Colossians 2:18	Let no man beguile you of your reward in a voluntary humility and worshipping of angels, intruding into those things which he hath not seen, vainly puffed up by his fleshly mind,
Colossians 2:19	And not holding the Head, from which all the body by joints and bands having nourishment ministered, and knit together, increaseth with the increase of God.
Colossians 2:20	Wherefore if ye be dead with Christ from the rudiments of the world, why, as though living in the world, are ye subject to ordinances,
Colossians 2:21	(Touch not; taste not; handle not;
Colossians 2:22	Which all are to perish with the using;) after the commandments and doctrines of men?
Colossians 2:23	Which things have indeed a shew of wisdom in will worship, and humility, and neglecting of the body; not in any honour to the satisfying of the flesh.
Colossians 3:1	If ye then be risen with Christ, seek those things which are above, where Christ sitteth on the right hand of God.
Colossians 3:2	Set your affection on things above, not on things on the earth.
Colossians 3:3	For ye are dead, and your life is hid with Christ in God.
Colossians 3:4	When Christ, [who is] our life, shall appear, then shall ye also appear with him in glory.
Colossians 3:5	Mortify therefore your members which are upon the earth; fornication, uncleanness, inordinate affection, evil concupiscence, and covetousness, which is idolatry:
Colossians 3:6	For which things’ sake the wrath of God cometh on the children of disobedience:
Colossians 3:7	In the which ye also walked some time, when ye lived in them.
Colossians 3:8	But now ye also put off all these; anger, wrath, malice, blasphemy, filthy communication out of your mouth.
Colossians 3:9	Lie not one to another, seeing that ye have put off the old man with his deeds;
Colossians 3:10	And have put on the new [man], which is renewed in knowledge after the image of him that created him:
Colossians 3:11	Where there is neither Greek nor Jew, circumcision nor uncircumcision, Barbarian, Scythian, bond [nor] free: but Christ [is] all, and in all.
Colossians 3:12	Put on therefore, as the elect of God, holy and beloved, bowels of mercies, kindness, humbleness of mind, meekness, longsuffering;
Colossians 3:13	Forbearing one another, and forgiving one another, if any man have a quarrel against any: even as Christ forgave you, so also [do] ye.
Colossians 3:14	And above all these things [put on] charity, which is the bond of perfectness.
Colossians 3:15	And let the peace of God rule in your hearts, to the which also ye are called in one body; and be ye thankful.
Colossians 3:16	Let the word of Christ dwell in you richly in all wisdom; teaching and admonishing one another in psalms and hymns and spiritual songs, singing with grace in your hearts to the Lord.
Colossians 3:17	And whatsoever ye do in word or deed, [do] all in the name of the Lord Jesus, giving thanks to God and the Father by him.
Colossians 3:18	Wives, submit yourselves unto your own husbands, as it is fit in the Lord.
Colossians 3:19	Husbands, love [your] wives, and be not bitter against them.
Colossians 3:20	Children, obey [your] parents in all things: for this is well pleasing unto the Lord.
Colossians 3:21	Fathers, provoke not your children [to anger], lest they be discouraged.
Colossians 3:22	Servants, obey in all things [your] masters according to the flesh; not with eyeservice, as menpleasers; but in singleness of heart, fearing God:
Colossians 3:23	And whatsoever ye do, do [it] heartily, as to the Lord, and not unto men;
Colossians 3:24	Knowing that of the Lord ye shall receive the reward of the inheritance: for ye serve the Lord Christ.
Colossians 3:25	But he that doeth wrong shall receive for the wrong which he hath done: and there is no respect of persons.
Colossians 4:1	Masters, give unto [your] servants that which is just and equal; knowing that ye also have a Master in heaven.
Colossians 4:2	Continue in prayer, and watch in the same with thanksgiving;
Colossians 4:3	Withal praying also for us, that God would open unto us a door of utterance, to speak the mystery of Christ, for which I am also in bonds:
Colossians 4:4	That I may make it manifest, as I ought to speak.
Colossians 4:5	Walk in wisdom toward them that are without, redeeming the time.
Colossians 4:6	Let your speech [be] alway with grace, seasoned with salt, that ye may know how ye ought to answer every man.
Colossians 4:7	All my state shall Tychicus declare unto you, [who is] a beloved brother, and a faithful minister and fellowservant in the Lord:
Colossians 4:8	Whom I have sent unto you for the same purpose, that he might know your estate, and comfort your hearts;
Colossians 4:9	With Onesimus, a faithful and beloved brother, who is [one] of you. They shall make known unto you all things which [are done] here.
Colossians 4:10	Aristarchus my fellowprisoner saluteth you, and Marcus, sister’s son to Barnabas, (touching whom ye received commandments: if he come unto you, receive him;)
Colossians 4:11	And Jesus, which is called Justus, who are of the circumcision. These only [are my] fellowworkers unto the kingdom of God, which have been a comfort unto me.
Colossians 4:12	Epaphras, who is [one] of you, a servant of Christ, saluteth you, always labouring fervently for you in prayers, that ye may stand perfect and complete in all the will of God.
Colossians 4:13	For I bear him record, that he hath a great zeal for you, and them [that are] in Laodicea, and them in Hierapolis.
Colossians 4:14	Luke, the beloved physician, and Demas, greet you.
Colossians 4:15	Salute the brethren which are in Laodicea, and Nymphas, and the church which is in his house.
Colossians 4:16	And when this epistle is read among you, cause that it be read also in the church of the Laodiceans; and that ye likewise read the [epistle] from Laodicea.
Colossians 4:17	And say to Archippus, Take heed to the ministry which thou hast received in the Lord, that thou fulfil it.
Colossians 4:18	The salutation by the hand of me Paul. Remember my bonds. Grace [be] with you. Amen.
1 Thessalonians 1:1	Paul, and Silvanus, and Timotheus, unto the church of the Thessalonians [which is] in God the Father and [in] the Lord Jesus Christ: Grace [be] unto you, and peace, from God our Father, and the Lord Jesus Christ.
1 Thessalonians 1:2	We give thanks to God always for you all, making mention of you in our prayers;
1 Thessalonians 1:3	Remembering without ceasing your work of faith, and labour of love, and patience of hope in our Lord Jesus Christ, in the sight of God and our Father;
1 Thessalonians 1:4	Knowing, brethren beloved, your election of God.
1 Thessalonians 1:5	For our gospel came not unto you in word only, but also in power, and in the Holy Ghost, and in much assurance; as ye know what manner of men we were among you for your sake.
1 Thessalonians 1:6	And ye became followers of us, and of the Lord, having received the word in much affliction, with joy of the Holy Ghost:
1 Thessalonians 1:7	So that ye were ensamples to all that believe in Macedonia and Achaia.
1 Thessalonians 1:8	For from you sounded out the word of the Lord not only in Macedonia and Achaia, but also in every place your faith to God-ward is spread abroad; so that we need not to speak any thing.
1 Thessalonians 1:9	For they themselves shew of us what manner of entering in we had unto you, and how ye turned to God from idols to serve the living and true God;
1 Thessalonians 1:10	And to wait for his Son from heaven, whom he raised from the dead, [even] Jesus, which delivered us from the wrath to come.
1 Thessalonians 2:1	For yourselves, brethren, know our entrance in unto you, that it was not in vain:
1 Thessalonians 2:2	But even after that we had suffered before, and were shamefully entreated, as ye know, at Philippi, we were bold in our God to speak unto you the gospel of God with much contention.
1 Thessalonians 2:3	For our exhortation [was] not of deceit, nor of uncleanness, nor in guile:
1 Thessalonians 2:4	But as we were allowed of God to be put in trust with the gospel, even so we speak; not as pleasing men, but God, which trieth our hearts.
1 Thessalonians 2:5	For neither at any time used we flattering words, as ye know, nor a cloke of covetousness; God [is] witness:
1 Thessalonians 2:6	Nor of men sought we glory, neither of you, nor [yet] of others, when we might have been burdensome, as the apostles of Christ.
1 Thessalonians 2:7	But we were gentle among you, even as a nurse cherisheth her children:
1 Thessalonians 2:8	So being affectionately desirous of you, we were willing to have imparted unto you, not the gospel of God only, but also our own souls, because ye were dear unto us.
1 Thessalonians 2:9	For ye remember, brethren, our labour and travail: for labouring night and day, because we would not be chargeable unto any of you, we preached unto you the gospel of God.
1 Thessalonians 2:10	Ye [are] witnesses, and God [also], how holily and justly and unblameably we behaved ourselves among you that believe:
1 Thessalonians 2:11	As ye know how we exhorted and comforted and charged every one of you, as a father [doth] his children,
1 Thessalonians 2:12	That ye would walk worthy of God, who hath called you unto his kingdom and glory.
1 Thessalonians 2:13	For this cause also thank we God without ceasing, because, when ye received the word of God which ye heard of us, ye received [it] not [as] the word of men, but as it is in truth, the word of God, which effectually worketh also in you that believe.
1 Thessalonians 2:14	For ye, brethren, became followers of the churches of God which in Judaea are in Christ Jesus: for ye also have suffered like things of your own countrymen, even as they [have] of the Jews:
1 Thessalonians 2:15	Who both killed the Lord Jesus, and their own prophets, and have persecuted us; and they please not God, and are contrary to all men:
1 Thessalonians 2:16	Forbidding us to speak to the Gentiles that they might be saved, to fill up their sins alway: for the wrath is come upon them to the uttermost.
1 Thessalonians 2:17	But we, brethren, being taken from you for a short time in presence, not in heart, endeavoured the more abundantly to see your face with great desire.
1 Thessalonians 2:18	Wherefore we would have come unto you, even I Paul, once and again; but Satan hindered us.
1 Thessalonians 2:19	For what [is] our hope, or joy, or crown of rejoicing? [Are] not even ye in the presence of our Lord Jesus Christ at his coming?
1 Thessalonians 2:20	For ye are our glory and joy.
1 Thessalonians 3:1	Wherefore when we could no longer forbear, we thought it good to be left at Athens alone;
1 Thessalonians 3:2	And sent Timotheus, our brother, and minister of God, and our fellowlabourer in the gospel of Christ, to establish you, and to comfort you concerning your faith:
1 Thessalonians 3:3	That no man should be moved by these afflictions: for yourselves know that we are appointed thereunto.
1 Thessalonians 3:4	For verily, when we were with you, we told you before that we should suffer tribulation; even as it came to pass, and ye know.
1 Thessalonians 3:5	For this cause, when I could no longer forbear, I sent to know your faith, lest by some means the tempter have tempted you, and our labour be in vain.
1 Thessalonians 3:6	But now when Timotheus came from you unto us, and brought us good tidings of your faith and charity, and that ye have good remembrance of us always, desiring greatly to see us, as we also [to see] you:
1 Thessalonians 3:7	Therefore, brethren, we were comforted over you in all our affliction and distress by your faith:
1 Thessalonians 3:8	For now we live, if ye stand fast in the Lord.
1 Thessalonians 3:9	For what thanks can we render to God again for you, for all the joy wherewith we joy for your sakes before our God;
1 Thessalonians 3:10	Night and day praying exceedingly that we might see your face, and might perfect that which is lacking in your faith?
1 Thessalonians 3:11	Now God himself and our Father, and our Lord Jesus Christ, direct our way unto you.
1 Thessalonians 3:12	And the Lord make you to increase and abound in love one toward another, and toward all [men], even as we [do] toward you:
1 Thessalonians 3:13	To the end he may stablish your hearts unblameable in holiness before God, even our Father, at the coming of our Lord Jesus Christ with all his saints.
1 Thessalonians 4:1	Furthermore then we beseech you, brethren, and exhort [you] by the Lord Jesus, that as ye have received of us how ye ought to walk and to please God, [so] ye would abound more and more.
1 Thessalonians 4:2	For ye know what commandments we gave you by the Lord Jesus.
1 Thessalonians 4:3	For this is the will of God, [even] your sanctification, that ye should abstain from fornication:
1 Thessalonians 4:4	That every one of you should know how to possess his vessel in sanctification and honour;
1 Thessalonians 4:5	Not in the lust of concupiscence, even as the Gentiles which know not God:
1 Thessalonians 4:6	That no [man] go beyond and defraud his brother in [any] matter: because that the Lord [is] the avenger of all such, as we also have forewarned you and testified.
1 Thessalonians 4:7	For God hath not called us unto uncleanness, but unto holiness.
1 Thessalonians 4:8	He therefore that despiseth, despiseth not man, but God, who hath also given unto us his holy Spirit.
1 Thessalonians 4:9	But as touching brotherly love ye need not that I write unto you: for ye yourselves are taught of God to love one another.
