Genesis 31:15	Are we not counted of him strangers? for he hath sold us, and hath quite devoured also our money.
Genesis 32:6	And the messengers returned to Jacob, saying, We came to thy brother Esau, and also he cometh to meet thee, and four hundred men with him.
Genesis 32:7	Then Jacob was greatly afraid and distressed: and he divided the people that [was] with him, and the flocks, and herds, and the camels, into two bands;
Genesis 32:8	And said, If Esau come to the one company, and smite it, then the other company which is left shall escape.
Genesis 32:9	And Jacob said, O God of my father Abraham, and God of my father Isaac, the LORD which saidst unto me, Return unto thy country, and to thy kindred, and I will deal well with thee:
Genesis 32:10	I am not worthy of the least of all the mercies, and of all the truth, which thou hast shewed unto thy servant; for with my staff I passed over this Jordan; and now I am become two bands.
Genesis 32:11	Deliver me, I pray thee, from the hand of my brother, from the hand of Esau: for I fear him, lest he will come and smite me, [and] the mother with the children.
Genesis 32:12	And thou saidst, I will surely do thee good, and make thy seed as the sand of the sea, which cannot be numbered for multitude.
Genesis 32:13	And he lodged there that same night; and took of that which came to his hand a present for Esau his brother;
Genesis 32:14	Two hundred she goats, and twenty he goats, two hundred ewes, and twenty rams,
Genesis 32:15	Thirty milch camels with their colts, forty kine, and ten bulls, twenty she asses, and ten foals.
Genesis 32:16	And he delivered [them] into the hand of his servants, every drove by themselves; and said unto his servants, Pass over before me, and put a space betwixt drove and drove.
Genesis 32:17	And he commanded the foremost, saying, When Esau my brother meeteth thee, and asketh thee, saying, Whose [art] thou? and whither goest thou? and whose [are] these before thee?
Genesis 32:18	Then thou shalt say, [They be] thy servant Jacob’s; it [is] a present sent unto my lord Esau: and, behold, also he [is] behind us.
Genesis 32:19	And so commanded he the second, and the third, and all that followed the droves, saying, On this manner shall ye speak unto Esau, when ye find him.
Genesis 32:20	And say ye moreover, Behold, thy servant Jacob [is] behind us. For he said, I will appease him with the present that goeth before me, and afterward I will see his face; peradventure he will accept of me.
Genesis 32:21	So went the present over before him: and himself lodged that night in the company.
Genesis 32:22	And he rose up that night, and took his two wives, and his two womenservants, and his eleven sons, and passed over the ford Jabbok.
Genesis 32:23	And he took them, and sent them over the brook, and sent over that he had.
Genesis 32:24	And Jacob was left alone; and there wrestled a man with him until the breaking of the day.
Genesis 32:25	And when he saw that he prevailed not against him, he touched the hollow of his thigh; and the hollow of Jacob’s thigh was out of joint, as he wrestled with him.
Genesis 32:26	And he said, Let me go, for the day breaketh. And he said, I will not let thee go, except thou bless me.
Genesis 32:27	And he said unto him, What [is] thy name? And he said, Jacob.
Genesis 32:28	And he said, Thy name shall be called no more Jacob, but Israel: for as a prince hast thou power with God and with men, and hast prevailed.
Genesis 32:29	And Jacob asked [him], and said, Tell [me], I pray thee, thy name. And he said, Wherefore [is] it [that] thou dost ask after my name? And he blessed him there.
Genesis 32:30	And Jacob called the name of the place Peniel: for I have seen God face to face, and my life is preserved.
Genesis 32:31	And as he passed over Penuel the sun rose upon him, and he halted upon his thigh.
Genesis 32:32	Therefore the children of Israel eat not [of] the sinew which shrank, which [is] upon the hollow of the thigh, unto this day: because he touched the hollow of Jacob’s thigh in the sinew that shrank.
Genesis 33:1	And Jacob lifted up his eyes, and looked, and, behold, Esau came, and with him four hundred men. And he divided the children unto Leah, and unto Rachel, and unto the two handmaids.
Genesis 33:2	And he put the handmaids and their children foremost, and Leah and her children after, and Rachel and Joseph hindermost.
Genesis 33:3	And he passed over before them, and bowed himself to the ground seven times, until he came near to his brother.
Genesis 33:4	And Esau ran to meet him, and embraced him, and fell on his neck, and kissed him: and they wept.
Genesis 33:5	And he lifted up his eyes, and saw the women and the children; and said, Who [are] those with thee? And he said, The children which God hath graciously given thy servant.
Genesis 33:6	Then the handmaidens came near, they and their children, and they bowed themselves.
Genesis 33:7	And Leah also with her children came near, and bowed themselves: and after came Joseph near and Rachel, and they bowed themselves.
Genesis 33:8	And he said, What [meanest] thou by all this drove which I met? And he said, [These are] to find grace in the sight of my lord.
Genesis 33:9	And Esau said, I have enough, my brother; keep that thou hast unto thyself.
Genesis 33:10	And Jacob said, Nay, I pray thee, if now I have found grace in thy sight, then receive my present at my hand: for therefore I have seen thy face, as though I had seen the face of God, and thou wast pleased with me.
Genesis 33:11	Take, I pray thee, my blessing that is brought to thee; because God hath dealt graciously with me, and because I have enough. And he urged him, and he took [it].
Genesis 33:12	And he said, Let us take our journey, and let us go, and I will go before thee.
Genesis 33:13	And he said unto him, My lord knoweth that the children [are] tender, and the flocks and herds with young [are] with me: and if men should overdrive them one day, all the flock will die.
Genesis 33:14	Let my lord, I pray thee, pass over before his servant: and I will lead on softly, according as the cattle that goeth before me and the children be able to endure, until I come unto my lord unto Seir.
Genesis 33:15	And Esau said, Let me now leave with thee [some] of the folk that [are] with me. And he said, What needeth it? let me find grace in the sight of my lord.
Genesis 33:16	So Esau returned that day on his way unto Seir.
Genesis 33:17	And Jacob journeyed to Succoth, and built him an house, and made booths for his cattle: therefore the name of the place is called Succoth.
Genesis 33:18	And Jacob came to Shalem, a city of Shechem, which [is] in the land of Canaan, when he came from Padanaram; and pitched his tent before the city.
Genesis 33:19	And he bought a parcel of a field, where he had spread his tent, at the hand of the children of Hamor, Shechem’s father, for an hundred pieces of money.
Genesis 33:20	And he erected there an altar, and called it EleloheIsrael.
Genesis 34:1	And Dinah the daughter of Leah, which she bare unto Jacob, went out to see the daughters of the land.
Genesis 34:2	And when Shechem the son of Hamor the Hivite, prince of the country, saw her, he took her, and lay with her, and defiled her.
Genesis 34:3	And his soul clave unto Dinah the daughter of Jacob, and he loved the damsel, and spake kindly unto the damsel.
Genesis 34:4	And Shechem spake unto his father Hamor, saying, Get me this damsel to wife.
Genesis 34:5	And Jacob heard that he had defiled Dinah his daughter: now his sons were with his cattle in the field: and Jacob held his peace until they were come.
Genesis 34:6	And Hamor the father of Shechem went out unto Jacob to commune with him.
Genesis 34:7	And the sons of Jacob came out of the field when they heard [it]: and the men were grieved, and they were very wroth, because he had wrought folly in Israel in lying with Jacob’s daughter; which thing ought not to be done.
Genesis 34:8	And Hamor communed with them, saying, The soul of my son Shechem longeth for your daughter: I pray you give her him to wife.
Genesis 34:9	And make ye marriages with us, [and] give your daughters unto us, and take our daughters unto you.
Genesis 34:10	And ye shall dwell with us: and the land shall be before you; dwell and trade ye therein, and get you possessions therein.
Genesis 34:11	And Shechem said unto her father and unto her brethren, Let me find grace in your eyes, and what ye shall say unto me I will give.
Genesis 34:12	Ask me never so much dowry and gift, and I will give according as ye shall say unto me: but give me the damsel to wife.
Genesis 34:13	And the sons of Jacob answered Shechem and Hamor his father deceitfully, and said, because he had defiled Dinah their sister:
Genesis 34:14	And they said unto them, We cannot do this thing, to give our sister to one that is uncircumcised; for that [were] a reproach unto us:
Genesis 34:15	But in this will we consent unto you: If ye will be as we [be], that every male of you be circumcised;
Genesis 34:16	Then will we give our daughters unto you, and we will take your daughters to us, and we will dwell with you, and we will become one people.
Genesis 34:17	But if ye will not hearken unto us, to be circumcised; then will we take our daughter, and we will be gone.
Genesis 34:18	And their words pleased Hamor, and Shechem Hamor’s son.
Genesis 34:19	And the young man deferred not to do the thing, because he had delight in Jacob’s daughter: and he [was] more honourable than all the house of his father.
Genesis 34:20	And Hamor and Shechem his son came unto the gate of their city, and communed with the men of their city, saying,
Genesis 34:21	These men [are] peaceable with us; therefore let them dwell in the land, and trade therein; for the land, behold, [it is] large enough for them; let us take their daughters to us for wives, and let us give them our daughters.
Genesis 34:22	Only herein will the men consent unto us for to dwell with us, to be one people, if every male among us be circumcised, as they [are] circumcised.
Genesis 34:23	[Shall] not their cattle and their substance and every beast of theirs [be] ours? only let us consent unto them, and they will dwell with us.
Genesis 34:24	And unto Hamor and unto Shechem his son hearkened all that went out of the gate of his city; and every male was circumcised, all that went out of the gate of his city.
Genesis 34:25	And it came to pass on the third day, when they were sore, that two of the sons of Jacob, Simeon and Levi, Dinah’s brethren, took each man his sword, and came upon the city boldly, and slew all the males.
Genesis 34:26	And they slew Hamor and Shechem his son with the edge of the sword, and took Dinah out of Shechem’s house, and went out.
Genesis 34:27	The sons of Jacob came upon the slain, and spoiled the city, because they had defiled their sister.
Genesis 34:28	They took their sheep, and their oxen, and their asses, and that which [was] in the city, and that which [was] in the field,
Genesis 34:29	And all their wealth, and all their little ones, and their wives took they captive, and spoiled even all that [was] in the house.
Genesis 34:30	And Jacob said to Simeon and Levi, Ye have troubled me to make me to stink among the inhabitants of the land, among the Canaanites and the Perizzites: and I [being] few in number, they shall gather themselves together against me, and slay me; and I shall be destroyed, I and my house.
Genesis 34:31	And they said, Should he deal with our sister as with an harlot?
Genesis 35:1	And God said unto Jacob, Arise, go up to Bethel, and dwell there: and make there an altar unto God, that appeared unto thee when thou fleddest from the face of Esau thy brother.
Genesis 35:2	Then Jacob said unto his household, and to all that [were] with him, Put away the strange gods that [are] among you, and be clean, and change your garments:
Genesis 35:3	And let us arise, and go up to Bethel; and I will make there an altar unto God, who answered me in the day of my distress, and was with me in the way which I went.
Genesis 35:4	And they gave unto Jacob all the strange gods which [were] in their hand, and [all their] earrings which [were] in their ears; and Jacob hid them under the oak which [was] by Shechem.
Genesis 35:5	And they journeyed: and the terror of God was upon the cities that [were] round about them, and they did not pursue after the sons of Jacob.
Genesis 35:6	So Jacob came to Luz, which [is] in the land of Canaan, that [is], Bethel, he and all the people that [were] with him.
Genesis 35:7	And he built there an altar, and called the place Elbethel: because there God appeared unto him, when he fled from the face of his brother.
Genesis 35:8	But Deborah Rebekah’s nurse died, and she was buried beneath Bethel under an oak: and the name of it was called Allonbachuth.
Genesis 35:9	And God appeared unto Jacob again, when he came out of Padanaram, and blessed him.
Genesis 35:10	And God said unto him, Thy name [is] Jacob: thy name shall not be called any more Jacob, but Israel shall be thy name: and he called his name Israel.
Genesis 35:11	And God said unto him, I [am] God Almighty: be fruitful and multiply; a nation and a company of nations shall be of thee, and kings shall come out of thy loins;
Genesis 35:12	And the land which I gave Abraham and Isaac, to thee I will give it, and to thy seed after thee will I give the land.
Genesis 35:13	And God went up from him in the place where he talked with him.
Genesis 35:14	And Jacob set up a pillar in the place where he talked with him, [even] a pillar of stone: and he poured a drink offering thereon, and he poured oil thereon.
Genesis 35:15	And Jacob called the name of the place where God spake with him, Bethel.
Genesis 35:16	And they journeyed from Bethel; and there was but a little way to come to Ephrath: and Rachel travailed, and she had hard labour.
Genesis 35:17	And it came to pass, when she was in hard labour, that the midwife said unto her, Fear not; thou shalt have this son also.
Genesis 35:18	And it came to pass, as her soul was in departing, (for she died) that she called his name Benoni: but his father called him Benjamin.
Genesis 35:19	And Rachel died, and was buried in the way to Ephrath, which [is] Bethlehem.
Genesis 35:20	And Jacob set a pillar upon her grave: that [is] the pillar of Rachel’s grave unto this day.
Genesis 35:21	And Israel journeyed, and spread his tent beyond the tower of Edar.
Genesis 35:22	And it came to pass, when Israel dwelt in that land, that Reuben went and lay with Bilhah his father’s concubine: and Israel heard [it]. Now the sons of Jacob were twelve:
Genesis 35:23	The sons of Leah; Reuben, Jacob’s firstborn, and Simeon, and Levi, and Judah, and Issachar, and Zebulun:
Genesis 35:24	The sons of Rachel; Joseph, and Benjamin:
Genesis 35:25	And the sons of Bilhah, Rachel’s handmaid; Dan, and Naphtali:
Genesis 35:26	And the sons of Zilpah, Leah’s handmaid; Gad, and Asher: these [are] the sons of Jacob, which were born to him in Padanaram.
Genesis 35:27	And Jacob came unto Isaac his father unto Mamre, unto the city of Arbah, which [is] Hebron, where Abraham and Isaac sojourned.
Genesis 35:28	And the days of Isaac were an hundred and fourscore years.
Genesis 35:29	And Isaac gave up the ghost, and died, and was gathered unto his people, [being] old and full of days: and his sons Esau and Jacob buried him.
Genesis 36:1	Now these [are] the generations of Esau, who [is] Edom.
Genesis 36:2	Esau took his wives of the daughters of Canaan; Adah the daughter of Elon the Hittite, and Aholibamah the daughter of Anah the daughter of Zibeon the Hivite;
Genesis 36:3	And Bashemath Ishmael’s daughter, sister of Nebajoth.
Genesis 36:4	And Adah bare to Esau Eliphaz; and Bashemath bare Reuel;
Genesis 36:5	And Aholibamah bare Jeush, and Jaalam, and Korah: these [are] the sons of Esau, which were born unto him in the land of Canaan.
Genesis 36:6	And Esau took his wives, and his sons, and his daughters, and all the persons of his house, and his cattle, and all his beasts, and all his substance, which he had got in the land of Canaan; and went into the country from the face of his brother Jacob.
Genesis 36:7	For their riches were more than that they might dwell together; and the land wherein they were strangers could not bear them because of their cattle.
Genesis 36:8	Thus dwelt Esau in mount Seir: Esau [is] Edom.
Genesis 36:9	And these [are] the generations of Esau the father of the Edomites in mount Seir:
Genesis 36:10	These [are] the names of Esau’s sons; Eliphaz the son of Adah the wife of Esau, Reuel the son of Bashemath the wife of Esau.
Genesis 36:11	And the sons of Eliphaz were Teman, Omar, Zepho, and Gatam, and Kenaz.
Genesis 36:12	And Timna was concubine to Eliphaz Esau’s son; and she bare to Eliphaz Amalek: these [were] the sons of Adah Esau’s wife.
Genesis 36:13	And these [are] the sons of Reuel; Nahath, and Zerah, Shammah, and Mizzah: these were the sons of Bashemath Esau’s wife.
Genesis 36:14	And these were the sons of Aholibamah, the daughter of Anah the daughter of Zibeon, Esau’s wife: and she bare to Esau Jeush, and Jaalam, and Korah.
Genesis 36:15	These [were] dukes of the sons of Esau: the sons of Eliphaz the firstborn [son] of Esau; duke Teman, duke Omar, duke Zepho, duke Kenaz,
Genesis 36:16	Duke Korah, duke Gatam, [and] duke Amalek: these [are] the dukes [that came] of Eliphaz in the land of Edom; these [were] the sons of Adah.
Genesis 36:17	And these [are] the sons of Reuel Esau’s son; duke Nahath, duke Zerah, duke Shammah, duke Mizzah: these [are] the dukes [that came] of Reuel in the land of Edom; these [are] the sons of Bashemath Esau’s wife.
Genesis 36:18	And these [are] the sons of Aholibamah Esau’s wife; duke Jeush, duke Jaalam, duke Korah: these [were] the dukes [that came] of Aholibamah the daughter of Anah, Esau’s wife.
Genesis 36:19	These [are] the sons of Esau, who [is] Edom, and these [are] their dukes.
Genesis 36:20	These [are] the sons of Seir the Horite, who inhabited the land; Lotan, and Shobal, and Zibeon, and Anah,
Genesis 36:21	And Dishon, and Ezer, and Dishan: these [are] the dukes of the Horites, the children of Seir in the land of Edom.
Genesis 36:22	And the children of Lotan were Hori and Hemam; and Lotan’s sister [was] Timna.
Genesis 36:23	And the children of Shobal [were] these; Alvan, and Manahath, and Ebal, Shepho, and Onam.
Genesis 36:24	And these [are] the children of Zibeon; both Ajah, and Anah: this [was that] Anah that found the mules in the wilderness, as he fed the asses of Zibeon his father.
Genesis 36:25	And the children of Anah [were] these; Dishon, and Aholibamah the daughter of Anah.
Genesis 36:26	And these [are] the children of Dishon; Hemdan, and Eshban, and Ithran, and Cheran.
Genesis 36:27	The children of Ezer [are] these; Bilhan, and Zaavan, and Akan.
Genesis 36:28	The children of Dishan [are] these; Uz, and Aran.
Genesis 36:29	These [are] the dukes [that came] of the Horites; duke Lotan, duke Shobal, duke Zibeon, duke Anah,
Genesis 36:30	Duke Dishon, duke Ezer, duke Dishan: these [are] the dukes [that came] of Hori, among their dukes in the land of Seir.
Genesis 36:31	And these [are] the kings that reigned in the land of Edom, before there reigned any king over the children of Israel.
Genesis 36:32	And Bela the son of Beor reigned in Edom: and the name of his city [was] Dinhabah.
Genesis 36:33	And Bela died, and Jobab the son of Zerah of Bozrah reigned in his stead.
Genesis 36:34	And Jobab died, and Husham of the land of Temani reigned in his stead.
Genesis 36:35	And Husham died, and Hadad the son of Bedad, who smote Midian in the field of Moab, reigned in his stead: and the name of his city [was] Avith.
Genesis 36:36	And Hadad died, and Samlah of Masrekah reigned in his stead.
Genesis 36:37	And Samlah died, and Saul of Rehoboth [by] the river reigned in his stead.
Genesis 36:38	And Saul died, and Baalhanan the son of Achbor reigned in his stead.
Genesis 36:39	And Baalhanan the son of Achbor died, and Hadar reigned in his stead: and the name of his city [was] Pau; and his wife’s name [was] Mehetabel, the daughter of Matred, the daughter of Mezahab.
Genesis 36:40	And these [are] the names of the dukes [that came] of Esau, according to their families, after their places, by their names; duke Timnah, duke Alvah, duke Jetheth,
Genesis 36:41	Duke Aholibamah, duke Elah, duke Pinon,
Genesis 36:42	Duke Kenaz, duke Teman, duke Mibzar,
Genesis 36:43	Duke Magdiel, duke Iram: these [be] the dukes of Edom, according to their habitations in the land of their possession: he [is] Esau the father of the Edomites.
Genesis 37:1	And Jacob dwelt in the land wherein his father was a stranger, in the land of Canaan.
Genesis 37:2	These [are] the generations of Jacob. Joseph, [being] seventeen years old, was feeding the flock with his brethren; and the lad [was] with the sons of Bilhah, and with the sons of Zilpah, his father’s wives: and Joseph brought unto his father their evil report.
Genesis 37:3	Now Israel loved Joseph more than all his children, because he [was] the son of his old age: and he made him a coat of [many] colours.
Genesis 37:4	And when his brethren saw that their father loved him more than all his brethren, they hated him, and could not speak peaceably unto him.
Genesis 37:5	And Joseph dreamed a dream, and he told [it] his brethren: and they hated him yet the more.
Genesis 37:6	And he said unto them, Hear, I pray you, this dream which I have dreamed:
Genesis 37:7	For, behold, we [were] binding sheaves in the field, and, lo, my sheaf arose, and also stood upright; and, behold, your sheaves stood round about, and made obeisance to my sheaf.
Genesis 37:8	And his brethren said to him, Shalt thou indeed reign over us? or shalt thou indeed have dominion over us? And they hated him yet the more for his dreams, and for his words.
Genesis 37:9	And he dreamed yet another dream, and told it his brethren, and said, Behold, I have dreamed a dream more; and, behold, the sun and the moon and the eleven stars made obeisance to me.
Genesis 37:10	And he told [it] to his father, and to his brethren: and his father rebuked him, and said unto him, What [is] this dream that thou hast dreamed? Shall I and thy mother and thy brethren indeed come to bow down ourselves to thee to the earth?
Genesis 37:11	And his brethren envied him; but his father observed the saying.
Genesis 37:12	And his brethren went to feed their father’s flock in Shechem.
Genesis 37:13	And Israel said unto Joseph, Do not thy brethren feed [the flock] in Shechem? come, and I will send thee unto them. And he said to him, Here [am I].
Genesis 37:14	And he said to him, Go, I pray thee, see whether it be well with thy brethren, and well with the flocks; and bring me word again. So he sent him out of the vale of Hebron, and he came to Shechem.
Genesis 37:15	And a certain man found him, and, behold, [he was] wandering in the field: and the man asked him, saying, What seekest thou?
Genesis 37:16	And he said, I seek my brethren: tell me, I pray thee, where they feed [their flocks].
Genesis 37:17	And the man said, They are departed hence; for I heard them say, Let us go to Dothan. And Joseph went after his brethren, and found them in Dothan.
Genesis 37:18	And when they saw him afar off, even before he came near unto them, they conspired against him to slay him.
Genesis 37:19	And they said one to another, Behold, this dreamer cometh.
Genesis 37:20	Come now therefore, and let us slay him, and cast him into some pit, and we will say, Some evil beast hath devoured him: and we shall see what will become of his dreams.
Genesis 37:21	And Reuben heard [it], and he delivered him out of their hands; and said, Let us not kill him.
Genesis 37:22	And Reuben said unto them, Shed no blood, [but] cast him into this pit that [is] in the wilderness, and lay no hand upon him; that he might rid him out of their hands, to deliver him to his father again.
Genesis 37:23	And it came to pass, when Joseph was come unto his brethren, that they stript Joseph out of his coat, [his] coat of [many] colours that [was] on him;
Genesis 37:24	And they took him, and cast him into a pit: and the pit [was] empty, [there was] no water in it.
Genesis 37:25	And they sat down to eat bread: and they lifted up their eyes and looked, and, behold, a company of Ishmeelites came from Gilead with their camels bearing spicery and balm and myrrh, going to carry [it] down to Egypt.
Genesis 37:26	And Judah said unto his brethren, What profit [is it] if we slay our brother, and conceal his blood?
Genesis 37:27	Come, and let us sell him to the Ishmeelites, and let not our hand be upon him; for he [is] our brother [and] our flesh. And his brethren were content.
Genesis 37:28	Then there passed by Midianites merchantmen; and they drew and lifted up Joseph out of the pit, and sold Joseph to the Ishmeelites for twenty [pieces] of silver: and they brought Joseph into Egypt.
Genesis 37:29	And Reuben returned unto the pit; and, behold, Joseph [was] not in the pit; and he rent his clothes.
Genesis 37:30	And he returned unto his brethren, and said, The child [is] not; and I, whither shall I go?
Genesis 37:31	And they took Joseph’s coat, and killed a kid of the goats, and dipped the coat in the blood;
Genesis 37:32	And they sent the coat of [many] colours, and they brought [it] to their father; and said, This have we found: know now whether it [be] thy son’s coat or no.
Genesis 37:33	And he knew it, and said, [It is] my son’s coat; an evil beast hath devoured him; Joseph is without doubt rent in pieces.
Genesis 37:34	And Jacob rent his clothes, and put sackcloth upon his loins, and mourned for his son many days.
Genesis 37:35	And all his sons and all his daughters rose up to comfort him; but he refused to be comforted; and he said, For I will go down into the grave unto my son mourning. Thus his father wept for him.
Genesis 37:36	And the Midianites sold him into Egypt unto Potiphar, an officer of Pharaoh’s, [and] captain of the guard.
Genesis 38:1	And it came to pass at that time, that Judah went down from his brethren, and turned in to a certain Adullamite, whose name [was] Hirah.
Genesis 38:2	And Judah saw there a daughter of a certain Canaanite, whose name [was] Shuah; and he took her, and went in unto her.
Genesis 38:3	And she conceived, and bare a son; and he called his name Er.
Genesis 38:4	And she conceived again, and bare a son; and she called his name Onan.
Genesis 38:5	And she yet again conceived, and bare a son; and called his name Shelah: and he was at Chezib, when she bare him.
Genesis 38:6	And Judah took a wife for Er his firstborn, whose name [was] Tamar.
Genesis 38:7	And Er, Judah’s firstborn, was wicked in the sight of the LORD; and the LORD slew him.
Genesis 38:8	And Judah said unto Onan, Go in unto thy brother’s wife, and marry her, and raise up seed to thy brother.
Genesis 38:9	And Onan knew that the seed should not be his; and it came to pass, when he went in unto his brother’s wife, that he spilled [it] on the ground, lest that he should give seed to his brother.
Genesis 38:10	And the thing which he did displeased the LORD: wherefore he slew him also.
Genesis 38:11	Then said Judah to Tamar his daughter in law, Remain a widow at thy father’s house, till Shelah my son be grown: for he said, Lest peradventure he die also, as his brethren [did]. And Tamar went and dwelt in her father’s house.
Genesis 38:12	And in process of time the daughter of Shuah Judah’s wife died; and Judah was comforted, and went up unto his sheepshearers to Timnath, he and his friend Hirah the Adullamite.
Genesis 38:13	And it was told Tamar, saying, Behold thy father in law goeth up to Timnath to shear his sheep.
Genesis 38:14	And she put her widow’s garments off from her, and covered her with a vail, and wrapped herself, and sat in an open place, which [is] by the way to Timnath; for she saw that Shelah was grown, and she was not given unto him to wife.
Genesis 38:15	When Judah saw her, he thought her [to be] an harlot; because she had covered her face.
Genesis 38:16	And he turned unto her by the way, and said, Go to, I pray thee, let me come in unto thee; (for he knew not that she [was] his daughter in law.) And she said, What wilt thou give me, that thou mayest come in unto me?
Genesis 38:17	And he said, I will send [thee] a kid from the flock. And she said, Wilt thou give [me] a pledge, till thou send [it]?
Genesis 38:18	And he said, What pledge shall I give thee? And she said, Thy signet, and thy bracelets, and thy staff that [is] in thine hand. And he gave [it] her, and came in unto her, and she conceived by him.
