Zechariah 7:8	And the word of the LORD came unto Zechariah, saying,
Malachi 3:5	And I will come near to you to judgment; and I will be a swift witness against the sorcerers, and against the adulterers, and against false swearers, and against those that oppress the hireling in [his] wages, the widow, and the fatherless, and that turn aside the stranger [from his right], and fear not me, saith the LORD of hosts.
Malachi 3:6	For I [am] the LORD, I change not; therefore ye sons of Jacob are not consumed.
Malachi 3:7	Even from the days of your fathers ye are gone away from mine ordinances, and have not kept [them]. Return unto me, and I will return unto you, saith the LORD of hosts. But ye said, Wherein shall we return?
Malachi 3:8	Will a man rob God? Yet ye have robbed me. But ye say, Wherein have we robbed thee? In tithes and offerings.
Malachi 3:9	Ye [are] cursed with a curse: for ye have robbed me, [even] this whole nation.
Malachi 3:10	Bring ye all the tithes into the storehouse, that there may be meat in mine house, and prove me now herewith, saith the LORD of hosts, if I will not open you the windows of heaven, and pour you out a blessing, that [there shall] not [be room] enough [to receive it].
Malachi 3:11	And I will rebuke the devourer for your sakes, and he shall not destroy the fruits of your ground; neither shall your vine cast her fruit before the time in the field, saith the LORD of hosts.
Malachi 3:12	And all nations shall call you blessed: for ye shall be a delightsome land, saith the LORD of hosts.
Malachi 3:13	Your words have been stout against me, saith the LORD. Yet ye say, What have we spoken [so much] against thee?
Malachi 3:14	Ye have said, It [is] vain to serve God: and what profit [is it] that we have kept his ordinance, and that we have walked mournfully before the LORD of hosts?
Malachi 3:15	And now we call the proud happy; yea, they that work wickedness are set up; yea, [they that] tempt God are even delivered.
Malachi 3:16	Then they that feared the LORD spake often one to another: and the LORD hearkened, and heard [it], and a book of remembrance was written before him for them that feared the LORD, and that thought upon his name.
Malachi 3:17	And they shall be mine, saith the LORD of hosts, in that day when I make up my jewels; and I will spare them, as a man spareth his own son that serveth him.
Malachi 3:18	Then shall ye return, and discern between the righteous and the wicked, between him that serveth God and him that serveth him not.
Malachi 4:1	For, behold, the day cometh, that shall burn as an oven; and all the proud, yea, and all that do wickedly, shall be stubble: and the day that cometh shall burn them up, saith the LORD of hosts, that it shall leave them neither root nor branch.
Malachi 4:2	But unto you that fear my name shall the Sun of righteousness arise with healing in his wings; and ye shall go forth, and grow up as calves of the stall.
Malachi 4:3	And ye shall tread down the wicked; for they shall be ashes under the soles of your feet in the day that I shall do [this], saith the LORD of hosts.
Malachi 4:4	Remember ye the law of Moses my servant, which I commanded unto him in Horeb for all Israel, [with] the statutes and judgments.
Malachi 4:5	Behold, I will send you Elijah the prophet before the coming of the great and dreadful day of the LORD:
Malachi 4:6	And he shall turn the heart of the fathers to the children, and the heart of the children to their fathers, lest I come and smite the earth with a curse.
Matthew 1:1	The book of the generation of Jesus Christ, the son of David, the son of Abraham.
Matthew 1:2	Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judas and his brethren;
Matthew 1:3	And Judas begat Phares and Zara of Thamar; and Phares begat Esrom; and Esrom begat Aram;
Matthew 1:4	And Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon;
Matthew 1:5	And Salmon begat Booz of Rachab; and Booz begat Obed of Ruth; and Obed begat Jesse;
Matthew 1:6	And Jesse begat David the king; and David the king begat Solomon of her [that had been the wife] of Urias;
Matthew 1:7	And Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asa;
Matthew 1:8	And Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias;
Matthew 1:9	And Ozias begat Joatham; and Joatham begat Achaz; and Achaz begat Ezekias;
Matthew 1:10	And Ezekias begat Manasses; and Manasses begat Amon; and Amon begat Josias;
Matthew 1:11	And Josias begat Jechonias and his brethren, about the time they were carried away to Babylon:
Matthew 1:12	And after they were brought to Babylon, Jechonias begat Salathiel; and Salathiel begat Zorobabel;
Matthew 1:13	And Zorobabel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor;
Matthew 1:14	And Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;
Matthew 1:15	And Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob;
Matthew 1:16	And Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ.
Matthew 1:17	So all the generations from Abraham to David [are] fourteen generations; and from David until the carrying away into Babylon [are] fourteen generations; and from the carrying away into Babylon unto Christ [are] fourteen generations.
Matthew 1:18	Now the birth of Jesus Christ was on this wise: When as his mother Mary was espoused to Joseph, before they came together, she was found with child of the Holy Ghost.
Matthew 1:19	Then Joseph her husband, being a just [man], and not willing to make her a publick example, was minded to put her away privily.
Matthew 1:20	But while he thought on these things, behold, the angel of the Lord appeared unto him in a dream, saying, Joseph, thou son of David, fear not to take unto thee Mary thy wife: for that which is conceived in her is of the Holy Ghost.
Matthew 1:21	And she shall bring forth a son, and thou shalt call his name JESUS: for he shall save his people from their sins.
Matthew 1:22	Now all this was done, that it might be fulfilled which was spoken of the Lord by the prophet, saying,
Matthew 1:23	Behold, a virgin shall be with child, and shall bring forth a son, and they shall call his name Emmanuel, which being interpreted is, God with us.
Matthew 1:24	Then Joseph being raised from sleep did as the angel of the Lord had bidden him, and took unto him his wife:
Matthew 1:25	And knew her not till she had brought forth her firstborn son: and he called his name JESUS.
Matthew 2:1	Now when Jesus was born in Bethlehem of Judaea in the days of Herod the king, behold, there came wise men from the east to Jerusalem,
Matthew 2:2	Saying, Where is he that is born King of the Jews? for we have seen his star in the east, and are come to worship him.
Matthew 2:3	When Herod the king had heard [these things], he was troubled, and all Jerusalem with him.
Matthew 2:4	And when he had gathered all the chief priests and scribes of the people together, he demanded of them where Christ should be born.
Matthew 2:5	And they said unto him, In Bethlehem of Judaea: for thus it is written by the prophet,
Matthew 2:6	And thou Bethlehem, [in] the land of Juda, art not the least among the princes of Juda: for out of thee shall come a Governor, that shall rule my people Israel.
Matthew 2:7	Then Herod, when he had privily called the wise men, inquired of them diligently what time the star appeared.
Matthew 2:8	And he sent them to Bethlehem, and said, Go and search diligently for the young child; and when ye have found [him], bring me word again, that I may come and worship him also.
Matthew 2:9	When they had heard the king, they departed; and, lo, the star, which they saw in the east, went before them, till it came and stood over where the young child was.
Matthew 2:10	When they saw the star, they rejoiced with exceeding great joy.
Matthew 2:11	And when they were come into the house, they saw the young child with Mary his mother, and fell down, and worshipped him: and when they had opened their treasures, they presented unto him gifts; gold, and frankincense, and myrrh.
Matthew 2:12	And being warned of God in a dream that they should not return to Herod, they departed into their own country another way.
Matthew 2:13	And when they were departed, behold, the angel of the Lord appeareth to Joseph in a dream, saying, Arise, and take the young child and his mother, and flee into Egypt, and be thou there until I bring thee word: for Herod will seek the young child to destroy him.
Matthew 2:14	When he arose, he took the young child and his mother by night, and departed into Egypt:
Matthew 2:15	And was there until the death of Herod: that it might be fulfilled which was spoken of the Lord by the prophet, saying, Out of Egypt have I called my son.
